name,latitude,longitude,color,family,country
Azerbaijani [azj],40.5,48.5,#11A772,Turkic,Azerbaijan
Azeri [azb],40.67,47.75,#159F6C,Turkic,Azerbaijan
Baagandji [drl],-32,142.533,#387448,Pama-Nyungan,Australia
Babungo [bav],6.12,10.42,#CCAF6B,Niger-Kongo,Cameroon
Badimaya [bia],-27.667,120,#33B969,Pama-Nyungan,Australia
Bafut [bfd],6.083,10.0999,#AB6C6E,Niger-Kongo,Cameroon
Bagirmi [bmi],10.2,17,#C87695,Nilo-Saharan,Chad
Bagri [bgq],29.6,74.3,#2C9C36,Indo-European,India
Bahing [bhj],27.27,86.56,#28579F,Tibeto-Burman,Nepal
Bahnar [bdq],14,108.5,#E5D783,Austroasiatic,Vietnam
Bai [bca],26,100,#92BB90,Tibeto-Burman,China
Bajau_Semporna [ssb],4.5,118.5,#EF8567,Austronesian,Indonesia
Balangao [blw],17.167,120.333,#CC7B4B,Austronesian,Philippines
Balanta [ble],12,-15,#C23588,Niger-Kongo,Guinea Bissau
Balantak [blz],-0.82,123.431,#D0756A,Austronesian,Indonesia
Balinese [ban],-8.583,115.25,#EBAB6B,Austronesian,Indonesia
Balochi [bgp-2],27,63.5,#41B068,Indo-European,Pakistan
Balti [bft],35.2,76,#2FB0AA,Tibeto-Burman,Pakistan
Bambara [bam],12.5,-7.5,#7E8688,Mande,Mali
Banda [bnd],-5.25,133.17,#D284B5,Austronesian,Indonesia
Bandjalang [bdy],-28.75,153,#37B15D,Pama-Nyungan,Australia
Bandjalang-Gidabal [bdy-3],-28.25,152,#45A55F,Pama-Nyungan,Australia
Banggai [bgz],-1.42,123.17,#C36260,Austronesian,Indonesia
Banggime [dbb],14.78,-3.76,#91A8AB,Banggime,Mali
Banjar [bjn],-2.5,115.5,#E2A858,Austronesian,Indonesia
Bankariya [cdm-2],27.5,85,#238498,Tibeto-Burman,Nepal
Bantawa [bap],27.2,87.1,#2350A7,Tibeto-Burman,Nepal
Baoan [peh],35.5,102,#3EAD87,Mongolic,China
Barai [bbb],-9.417,148,#5D728D,Trans New Guinea,Papua New Guinea
Baram [brd],27.95,85,#3AB698,Tibeto-Burman,Nepal
Barang-barang [lji],-6.4,120.5,#DC636F,Austronesian,Indonesia
Barasano [bsn],-0.25,-70.75,#40677A,Tucanoan,Colombia
Bardi [bcj],-16.58,122.92,#6D6385,Nyulnyul,Australia
Bari [bfa],3.8,31,#D29871,Nilo-Saharan,South Sudan
Barupu [wra],-3.083,142.083,#AD50A2,Skou,Papua New Guinea
Bashkir [bak],53,58,#18A772,Turkic,Russia
