name,latitude,longitude,color,family,country
Hidatsa [hid],48,-110,#630CCA,Siouan,USA
Hiligaynon [hil],10.25,123,#C08550,Austronesian,Philippines
Hill_Madia [mrr],18.9,81.35,#1D896A,Dravidian,India
Hindi [hin],27,80,#38A22C,Indo-European,India
Hiw [hiw],-13.25,166.5,#D56FA0,Austronesian,Vanuatu
Hixkaryana [hix],1.5,-60,#833C7D,Cariban,Brazil
Hkongso [mro],21.5,93,#91CB99,Tibeto-Burman,Myanmar
Hlai [lic],19.05,109.9,#D9E298,Tai-Kadai,China
Hlersu [hle],24.05,101.975,#74E2B1,Tibeto-Burman,China
Hmar [hmr],25,92.2,#52A79E,Tibeto-Burman,India
Ho [hoc],22,86,#516586,Austroasiatic,India
Hobyot [hoh],16.21,52.2,#7A5442,Afro-Asiatic,Oman
Holoholo [hoo],-5.5,28.25,#D14F6D,Niger-Kongo,Democratic Republic of the Congo
Hopi [hop],36,-110,#2E5487,Uto-Aztecan,USA
Hresuk [adb],-8.22,125.61,#DEA4A3,Austronesian,Timor leste
Hua [ygr],-6.333,145.3,#1A559B,Trans New Guinea,Papua New Guinea
Huastec [hsf],22.08,-99.33,#AA5D37,Mayan,Mexico
Huichol [hch],22,-104,#2E4B93,Uto-Aztecan,Mexico
Hungarian [hun],47,19,#5E9437,Uralic,Hungary
Hunzib [huz],42.16,46.23,#208A6B,Nakh-Daghestanian,Russia
Hup [jup],0.167,-69.25,#418A97,Nadahup,Brazil
Hupa [hup],41.08,-123.67,#763E98,Dene-Yeniseic,USA
I’saka [ksi],-2.9,141.4,#A24FB6,Skou,Papua New Guinea
Iaai [iai],-20.417,166.417,#F9784B,Austronesian,New Caledonia
Iatmul [ian],-4.25,143.25,#1D6A90,Sepik,Papua New Guinea
Iau [tmu],-3.167,138,#91C3B4,Lakes Plains,Indonesia
Iban [iba],2,112,#EFC570,Austronesian,Malaysia
Icelandic [isl],65,-19,#61A40F,Indo-European,Iceland
Idu Mishmi [clk],29,96,#5598BC,Tibeto-Burman,India
Ifugao_Batad [ifb],16.833,121.083,#BD7F35,Austronesian,Philippines
Igbo [ibo],6,7.33,#B17E8F,Niger-Kongo,Nigeria
Iha [ihp],-2.8,132.35,#6350C5,Trans New Guinea,Indonesia
Ik [ikx],3.75,34.17,#7D7D51,Nilo-Saharan,Uganda
Ika [arh],10.75,-73.5,#5366AD,Chibchan,Colombia
Ilokano [ilo],16,121,#BD7E39,Austronesian,Philippines
Imonda [imn],-3.25,141.167,#6A8192,Trans New Guinea,Papua New Guinea
Inanwatan [szp],-2.17,132,#6D3DBF,Trans New Guinea,Indonesia
Indonesian [ind],-2.5,104.75,#E49461,Austronesian,Indonesia
Ingush [inh],42.97,44.77,#22967B,Nakh-Daghestanian,Russia
Iñupiaq [esi],68.13,-151.72,#24418E,Eskimo-Aleut,USA
Irabu_Ryukyu [mvi-3],24.833,125.183,#31AE9D,Japonic,Japan
Iraqw [irk],-3.5,35,#8B7873,Afro-Asiatic,Tanzania
Irarutu [irh],-3,133.5,#E160B4,Austronesian,Indonesia
Irish [gle],53,-7,#986E20,Indo-European,Ireland
Irula [iru],11,77,#129279,Dravidian,India
Italian [ita],43,14,#8E941D,Indo-European,Italy
Itelmen [itl],57,157.5,#304A5B,Chukotko-Kamchatkan,Russia
Ivatan_Southern [ivv],20.33,121.83,#BB8259,Austronesian,Philippines
Izi [izi],6.332,8.104,#F2FF9E,Niger-Kongo,Nigeria
Jacaltec [jac],15.75,-91.75,#B5405C,Mayan,Guatemala
Jahai [jhi],5.9,101.5,#D08B6B,Austroasiatic,Malaysia
Jambi Malay [jax],-1.75,103,#F69066,Austronesian,Indonesia
Jaminjung [djd],-15.083,130.5,#354874,Mirndi,Australia
Jamul Tiipay [dih-2],32.17,-116.5,#744DB1,Yuman-Cochimi,USA
Japanese [jpn],37,140,#4AA280,Japonic,Japan
Jaqaru [jqr],-12.85,-76,#265A67,Aymaran,Peru
Javanese [jav],-7.5,110.667,#F49864,Austronesian,Indonesia
Jebero [jeb],-5.2,-76.4,#653570,Cahuapanan,Peru
Jero [jee],27.2,86.25,#2E69B1,Tibeto-Burman,Nepal
Jiaomuzu [qxs-2],32,102.03,#5D75A2,Tibeto-Burman,China
Jibbali [shv],17.2,54.9,#815C1C,Afro-Asiatic,Oman
Jingpho [kac],28,98,#9CEAB5,Tibeto-Burman,Myanmar
Jirel [jul],27.65,86.23,#188A95,Tibeto-Burman,Nepal
Jivaro [jiv],-3,-78.25,#288965,Jivaroan,Ecuador
Jomang [tlo],10.58,30.5,#C26B96,Kordofanian,Sudan
Jru [lbo],15.333,106.333,#F4C0A5,Austroasiatic,Laos
Ju|'hoan [ktz],-19,21,#DCAC99,Kx'aa,Namibia
Juang [jun],21.167,85.833,#446488,Austroasiatic,India
Juba_Arabic [apd-2],4.85,31.6,#D2CC77,Afro-Asiatic,Sudan
Kabardian [kbd],43.52,43.63,#3233A6,North-west Caucasus,Russia
Kabyle [kab],36.5,5,#9B4D3D,Afro-Asiatic,Algeria
Kadazan [kzj],5.917,117.167,#CF9742,Austronesian,Malaysia
Kaera [xxx-111],-8.38,124.21,#AC77D4,Timor-Alor-Pantar,Indonesia
Kagoshima [jpn-5],31.6,130.55,#35B794,Japonic,Japan
Kaike [kzq],28.9,83.17,#2AA1A6,Tibeto-Burman,Nepal
Kairiru [kxa],-3.417,143.583,#C46ABB,Austronesian,Papua New Guinea
Kakua [cbv],1.08,-70,#2055A2,Nadahup,Brazil
Kala Lagaw Ya [mwp],-10.12,142.12,#43DB81,Pama-Nyungan,Australia
Kalam [kmh],-5.25,144.583,#5B88BA,Trans New Guinea,Papua New Guinea
Kalami [gwc],35.48,72.59,#39A75B,Indo-European,Pakistan
Kalasha [kls],35.73,71.75,#308E5A,Indo-European,Pakistan
Kalkatungu [ktg],-21,139.5,#3A6977,Pama-Nyungan,Australia
Kalkoti [xka],21.91,78.72,#18A871,Indo-European,Pakistan
Kalmyk [xal],45,47,#289973,Mongolic,Russia
Kamang [woi],-8.25,124.833,#B151EA,Timor-Alor-Pantar,Indonesia
Kamba [kam],-2,38,#D74E74,Niger-Kongo,Kenya
Kambera [xbr],-9.833,120.5,#E6767C,Austronesian,Indonesia
Kambran [bed],-2.78,132.7,#C3A2B0,Austronesian,Indonesia
Kamoro [kgq],-4.333,136,#4837CC,Trans New Guinea,Indonesia
Kanakuru [kna],10,12,#AE776A,Afro-Asiatic,Nigeria
Kanashi [xns],32,77.55,#32A764,Tibeto-Burman,India
Kangri [xnr],31.5,77,#1C9657,Indo-European,India
Kannada [kan],14,76,#278B69,Dravidian,India
Kanoê [kxo],-12.5,-62.25,#5B43AA,Kanoê,Brazil
Kanum [kcd],-8.583,140.75,#427163,South New Guinea,Indonesia
Kanuri [knc],11.25,14.25,#64586F,Nilo-Saharan,Cameroon
Kapampangan [pam],15.333,120.5,#BF5C3C,Austronesian,Philippines
Kapau [hmt],-7.667,146.167,#4E2EB7,Trans New Guinea,Papua New Guinea
Karachay-Balkar [krc],44,42,#17A070,Turkic,Russia
Karaim [kdr],54.63,24.93,#57994C,Turkic,Lithuania
Karajarri [gbd],-18.5,122.5,#35C870,Pama-Nyungan,Australia
Karakalpak [kaa],43,60,#0CA36C,Turkic,Uzbekistan
Karas Laut [kgv],-3.6,132.667,#456FA5,Trans New Guinea,Indonesia
Karbi [mjw],26.2,93.5,#4A82AE,Tibeto-Burman,India
Karen [bwe],17,98,#ECCBB6,Tibeto-Burman,Myanmar
Karen_Geba [kvq],19.02,96.58,#E7C2AE,Tibeto-Burman,Myanmar
Karen_Pho [pwo],14.333,98.3,#E5E5B7,Tibeto-Burman,Myanmar
Karen_Pho_Kyonbyaw [pwo-3],17.6,95.2,#EDAFBE,Tibeto-Burman,Myanmar
Karen_Sgaw [ksw],17,94.833,#ECE2AD,Tibeto-Burman,Myanmar
Karo_Batak [btx],3,98.167,#CF735D,Austronesian,Indonesia
Karok [kyh],41.67,-123,#56398C,Karok,USA
Kashmiri [kas],34,76,#2E8350,Indo-European,India
Kate [kmg],-6.5,147.833,#4847BD,Trans New Guinea,Papua New Guinea
Katu [ktv],15.833,107.583,#EFEB91,Austroasiatic,Vietnam
Kaugel [ubu],-5.95,144.167,#486DA9,Trans New Guinea,Papua New Guinea
Kaulong [pss],-6.25,150.5,#C96FAD,Austronesian,Papua New Guinea
Kaure [bpp],-3.333,139.333,#3457AF,Trans New Guinea,Indonesia
Kawaiisu [xaw],36,-117.5,#534478,Uto-Aztecan,USA
Kayah_Li [eky],19,98,#CBBBC3,Tibeto-Burman,Myanmar
Kayardild [gyd],-17.05,139.5,#4E8F7B,Tangkic,Australia
Kazakh [kaz],50,70,#1D8A74,Turkic,Kazakhstan
Kedang [ksx],-8.25,123.75,#DE7CA9,Austronesian,Indonesia
Kei [kei],-5.67,133.08,#D185A4,Austronesian,Indonesia
Kéo [xxk],-8.83,121.25,#EDCC87,Austronesian,Indonesia
Kera [ker],9.83,15.08,#BB8D86,Afro-Asiatic,Chad
Keraq [unr-2],24,85.2,#418168,Austroasiatic,India
Kerinci [kvr],-2.15,101.5,#BBA64D,Austronesian,Indonesia
Kesui [wah],-4.5,131.667,#D574A9,Austronesian,Indonesia
Ket [ket],64,87,#7F6A66,Dene-Yeniseic,Russia
Keuw [khh],-3.2,136.2,#A2D0D5,Keuw,Indonesia
Kewa [kew],-6.333,143.75,#3E9795,Trans New Guinea,Papua New Guinea
Khakas [kjh],53,90,#209176,Turkic,Russia
Khalaj [klj],35,50,#2D9A64,Turkic,Iran
Khaling [klr],27.6,86.7,#306597,Tibeto-Burman,Nepal
Khalkha [khk],47,105,#2AAA6D,Mongolic,Mongolia
Kham [kgj],28.5,82.75,#26689C,Tibeto-Burman,Nepal
Khanty [kca],65,65,#61956D,Uralic,Russia
Kharia [khr],22.5,83.5,#468179,Austroasiatic,India
Khasi [kha],26,92,#A9BE57,Austroasiatic,India
Khengkha [xkf],27.28,90.75,#44BABE,Tibeto-Burman,Bhutan
Khmer [khm],12,105,#EDCE93,Austroasiatic,Cambodia
Khmu [kjg],19,100.75,#E6D77F,Austroasiatic,Thailand
Khowar [khw],36.5,72.5,#199A6F,Indo-European,Pakistan
Kija [gia],-17.5,127.75,#484595,Jarrakan,Australia
Kilivila [kij],-8.5,151,#E15B7D,Austronesian,Papua New Guinea
Kiluba [lub],-8.5,26,#D85479,Niger-Kongo,Democratic Republic of the Congo
Kimaama [kig],-8,139.583,#A58EE0,Kolopom,Indonesia
Kinnauri [kfk],31.5,78.25,#3A8570,Tibeto-Burman,India
KinyaRwanda [kin],-2,30,#C94E6C,Niger-Kongo,Rwanda
Kiowa [kio],37,-99,#6B3592,Kiowa-Tanoan,USA
Kirghiz [kir],42,75,#188D73,Turkic,Kyrgystan
Kiribati [gil],1.333,173,#FB6847,Austronesian,Kiribati
Kisi [kss],8.83,-10.17,#CB6E77,Niger-Kongo,Guinea
Kitanemuk [xxx-43],34.5,-117.5,#615A6E,Uto-Aztecan,USA
Klamath [kla],42.5,-121.5,#4C6E33,Oregon Penutian,USA
Klon [kyo],-8.417,124.417,#B879D2,Timor-Alor-Pantar,Indonesia
Koasati [cku],34.83,-85.17,#5640B4,Muskogean,USA
Kobon [kpw],-5.167,144.417,#7371BF,Trans New Guinea,Papua New Guinea
Kodagu [kfa],13.08,76.42,#0D9B64,Dravidian,India
Koiwai [kwh],-4,134,#C16499,Austronesian,Indonesia
Kokborok [trp],24.33,92.5,#2887B0,Tibeto-Burman,India
Kokota [kkk],-8,159.25,#C5645B,Austronesian,Solomons
Kola [kvv],-5.42,134.5,#D6698E,Austronesian,Indonesia
Kolami [kfb],20,78.5,#1EB062,Dravidian,India
Kolana [kvw],-8.3,125.133,#A15FDC,Timor-Alor-Pantar,Indonesia
Kolokuma [ijc],4.92,5.67,#496FA3,Niger-Kongo,Nigeria
Komo [xom],9,33.75,#CD6E63,Nilo-Saharan,Democratic Republic of the Congo
Komodo [knh],-8.5,119.5,#E8986B,Austronesian,Indonesia
Kongo [kng],-5,15,#E05E6E,Niger-Kongo,Democratic Republic of the Congo
Konjo [kjc],-5.333,119.833,#DE6159,Austronesian,Indonesia
Konkani [knn],15.25,74.4,#29A657,Indo-European,India
Konso [kxc],5.4,37.5,#76707F,Afro-Asiatic,Ethiopia
Korana [kqz],-26,22,#5B7662,Khoe,Botswana
Korean [kor],37,128,#4AB46D,Korean,Korea
Korku [kfq],25,78.5,#45905E,Austroasiatic,India
Koro [hru-2],27.25,92.8,#37AB9E,Tibeto-Burman,India
Koromfe [kfz],14.25,-0.92,#B67673,Niger-Kongo,Burkina Faso
Korowai [khe],-5.417,140.25,#2D73A6,Trans New Guinea,Indonesia
Kosraean [kos],5.3,163,#E78763,Austronesian,USA Federated States of Micronesia
Koya [kff],17.5,81.333,#10B554,Dravidian,India
Koyi [kkt],27.4,86.9,#265798,Tibeto-Burman,Nepal
Koyra Chiini [khq],16.75,3.5,#CB9F81,Nilo-Saharan,Mali
Kpelle [xpe],7,-10,#9E6A8F,Mande,Liberia
Krongo [kgo],10.5,30,#B26E74,Kordofanian,Sudan
Ku Waru [xxx-14],-6,144.15,#4270AB,Trans New Guinea,Papua New Guinea
Kuanua [ksd],-4.4,152.167,#DC894C,Austronesian,Papua New Guinea
Kui [kvd],-8.583,124.75,#AA55F2,Timor-Alor-Pantar,Indonesia
Kui [kxu],20,83.5,#1CBA60,Dravidian,India
Kukatj [xxx-38],-17.95,140.8,#499181,Pama-Nyungan,Australia
Kuke [ght],28.531,84.846,#41859E,Tibeto-Burman,Nepal
Kuku Nganhcara [wua],-14.8,141.9,#5CBC8B,Pama-Nyungan,Australia
Kuku Yalanji [gvn],-16,145,#47CE55,Pama-Nyungan,Australia
Kuman [kue],-5.917,144.917,#4B68B9,Trans New Guinea,Papua New Guinea
Kumauni [kfy],30,80,#1BB23F,Indo-European,India
Kumzari [zum],26,56.3,#9B728A,Indo-European,Oman
Kunama [kun],14.5,37,#716192,Nilo-Saharan,Eritrea
Kundal_Shahi [shd],34.55,73.84,#1A9559,Indo-European,Pakistan
Kunjen [kjn],-16.5,142,#52C594,Pama-Nyungan,Australia
Kuot [kto],-3.083,151.5,#C73D4C,Kuot,Papua New Guinea
Kupang Malay [mkn],-10.18,123.58,#E4B988,Austronesian,Indonesia
Kurdish [kmr],36,44,#75524C,Indo-European,Iraq
Kurtöp [xkz],27.83,91,#3AB7B2,Tibeto-Burman,Bhutan
Kurux [kxl],26.5,87.35,#226583,Dravidian,Nepal
Kusunda [kgg],28.33,83.1,#5D9593,Kusunda,Nepal
Kutenai [kut],49.5,-116,#A13D2E,Kutenai,Canada
Kuuk Thaayorre [thd],-14,142.25,#62A588,Pama-Nyungan,Australia
Kuuku-Ya'u [kuy],-12.583,143.083,#4CC28D,Pama-Nyungan,Australia
Kuvi [kxv],18.75,82.667,#17BA75,Dravidian,India
Kwaio [kwd],-8.917,161.083,#E36B79,Austronesian,Solomons
Kwangari [kwn],-18.5,20,#CA4E54,Niger-Kongo,Namibia
Kwaza [xwa],-12,-60.5,#63539F,Kwaza,Brazil
Kwerba [kwe],-2.167,138.5,#3C579C,Kwerba,Indonesia
Kwini [gww],-14.333,126.75,#773599,Wororan,Australia
Kyirong_Tibetan [bod-3],28.4,85.2,#31A1AF,Tibeto-Burman,China
Laal [gdm],10,17.67,#AF5E66,Laal,Chad
Lachi [lbt],23.123,104.703,#E8D59A,Tai-Kadai,China
Ladakhi [lbj],34,78,#2993B0,Tibeto-Burman,India
Laguna [kjq],35.25,-107.33,#7E4C9C,Keresan,USA
Lahu [lhu],20.75,100.75,#9CB6BE,Tibeto-Burman,Myanmar
Lak [lbe],42.17,47.11,#3F887D,Nakh-Daghestanian,Russia
Lakhota [lkt],45,-102,#AE55BC,Siouan,USA
Lakkia [lbc],24.08,110.17,#DFDF92,Tai-Kadai,China
Lamaholot [slp],-8.25,123,#C197AB,Austronesian,Indonesia
Lamani [lmn],18,77,#43AA68,Indo-European,India
Lamba [lam],9.8,10.5,#CF5A60,Niger-Kongo,Zambia
Lamjung Yohlmo [scp-2],28.33,84.42,#3AADAB,Tibeto-Burman,Nepal
Lampung [ljp],-5,105,#E79F6F,Austronesian,Indonesia
Lango [laj],2,33,#CA4F67,Nilo-Saharan,Uganda
Lani [dnw],-3.75,138.2,#5042CF,Trans New Guinea,Indonesia
Lao [lao],19,103,#DCD387,Tai-Kadai,Laos
Larantuka Malay [lrt],-8.33,123,#E2CA97,Austronesian,Indonesia
Lardil [lbz],-16.5,139.5,#5BA26A,Tangkic,Australia
Larike [alo],-3.783,127.917,#DB4EBA,Austronesian,Indonesia
Latvian [lav],56.8,24.1,#5E7E19,Indo-European,Latvia
Lavukaleve [lvk],-9,159,#7A46A6,Solomons East Papuan,Solomons
Lele [lln],9.08,15.58,#B06594,Afro-Asiatic,Chad
Lelepa [lpa],-17.64,168.18,#D067B3,Austronesian,Vanuatu
Lenakel [tnl],-19.583,169.083,#CD5A97,Austronesian,Vanuatu
Lepcha [lep],27,88.2,#62B796,Tibeto-Burman,India
Leti [lti],-8.167,128.167,#E359AF,Austronesian,Indonesia
Lewo [lww],-16.667,168.333,#CE49A4,Austronesian,Vanuatu
Lezgian [lez],41.58,47.78,#1C9C79,Nakh-Daghestanian,Russia
Lhasa_Tibetan [bod],29.65,91.14,#43AFB9,Tibeto-Burman,China
Lhomi [lhm],27.75,87.4,#4D9EAA,Tibeto-Burman,Nepal
Liko [kbo],3.75,30.5,#B03D73,Nilo-Saharan,Sudan
Limbu [lif],27.167,87.75,#3E6196,Tibeto-Burman,Nepal
Limilngan [lmc],-12.5,131.917,#86329D,Darwin,Australia
Linda [liy],6,21,#E17CAE,Adamawa-Ubangi,Central African Republic
Lingala [lin],1,18.5,#C64D84,Niger-Kongo,Democratic Republic of the Congo
Lisu [lis],19.5,98.75,#86CDA6,Tibeto-Burman,Myanmar
Lithuanian [lit],54.9,23.9,#488226,Indo-European,Lithuania
Logba [lgq],6.9,0.45,#C26A9A,Niger-Kongo,Ghana
Lokono [arw-2],6.07,-57.6,#7451A0,Arawak,Guyana
Longgu [lgu],-9.75,160.75,#ED7D41,Austronesian,Solomons
Loniu [los],-2.1,147.417,#E97AA9,Austronesian,Papua New Guinea
Lote [uvl],-5.6,151.9,#C9798B,Austronesian,Papua New Guinea
Lozi [loz],-15,23,#B45356,Niger-Kongo,Zambia
Lü [khb],22,100.67,#E8E192,Tai-Kadai,China
Luangiua [ojv],-5.417,159.65,#D0C379,Austronesian,Solomons
LuGanda [lug],0.5,32.17,#C83E63,Niger-Kongo,Uganda
Luo [luo],-0.4,34.4,#C4365E,Nilo-Saharan,Kenya
Lushootseed [lut],48,-122,#924A42,Salish,USA
Luvale [lue],-12,22,#D04262,Niger-Kongo,Angola
Ma'ya [slz],-1.25,130.92,#C67A84,Austronesian,Indonesia
Maanyan [mhy],-2,115,#F9A468,Austronesian,Indonesia
Maasai [mas],-3,36,#994651,Nilo-Saharan,Tanzania
Maba [mde],13.75,20.83,#605F98,Nilo-Saharan,Chad
Macedonian [mkd],41.6,22,#56A912,Indo-European,Macedonia
Macushi [mbc],4.5,-60,#465869,Cariban,Brazil
Madi [mhi],3.45,31.17,#B082B1,Nilo-Saharan,Uganda
Madimadi [xxx-18],-34.5,143.5,#519F51,Pama-Nyungan,Australia
Madurese [mad],-7.25,113.333,#E6A95D,Austronesian,Indonesia
Magahi [mag],25,85,#1D9E59,Indo-European,India
Magar [mgp],28,83,#379599,Tibeto-Burman,Nepal
Mahali [mjx],22.85,87.1,#3D804E,Austroasiatic,India
MaiBrat [ayz],-1.25,132.667,#D880A4,West Papuan,Indonesia
Maidu [nmu],40,-120.67,#176A82,Maiduan,USA
Mairasi [zrs],-3.5,134,#7D5DC2,Tanah Merah-Mairasi,Indonesia
Maisin [mbq],-9.5,149.167,#7543C2,Austronesian,Papua New Guinea
Maithili [mai],26.5,86,#39A851,Indo-European,India
Majhi [mjz],27.25,86.15,#278760,Indo-European,Nepal
Mak [mkg],26,107.75,#E0D985,Tai-Kadai,China
Makah [myh],48.33,-124.67,#976355,Wakashan,USA
Makasai [mkz],-8.5,126.5,#9CC2AC,Timor-Alor-Pantar,Timor leste
Makassar [mak],-5.417,119.583,#D8654E,Austronesian,Indonesia
Makhuwa-Enehara [vmw],-15,39,#B84887,Niger-Kongo,Mozambique
Mako [wpc],4.215,-65.742,#5043A7,Sáliba-Piaroa,Venezuela
Makua [vmw],-15,38,#D04E67,Niger-Kongo,Mozambique
Malagasy [bhr],-20,47,#C9864A,Austronesian,Madagascar
MalakMalak [mpb],-13.417,130.417,#6E63A5,Northern Daly,Australia
Malay [zlm],3.13,101.68,#D8A767,Austronesian,Malaysia
Malayalam [mal],8.5,77,#27B459,Dravidian,India
Malgana [vml],-26,115,#32C57A,Pama-Nyungan,Australia
Mali [gcc],-4.833,152.25,#99439B,Baining,Papua New Guinea
Malto [kmj],25,87.333,#13B864,Dravidian,India
Mam [mvc],15.25,-92,#B74342,Mayan,Guatemala
Mamainde [wmd],-13.5,-60,#7131C3,Nambikwara,Brazil
Mamanwa [mmn],9.417,125.5,#C5804E,Austronesian,Philippines
Mambai [mgm],-8.75,125.42,#DEB4B4,Austronesian,Timor leste
Mambwe [mgr],-9,31,#D24D74,Niger-Kongo,Zambia
Manadonese [xmm],1.5,124.833,#D4B96C,Austronesian,Indonesia
Manam [mva],-4.083,145.083,#C64FA3,Austronesian,Papua New Guinea
Manange [nmm],28.667,84.08,#2ABA94,Tibeto-Burman,Nepal
Manchu [mnc],45,125,#208285,Tungusic,China
Mandan [mhq],46,-100,#4F2DC6,Siouan,USA
Mandarin_Beijing [cmn],40,116.75,#A5C97C,Tibeto-Burman,China
Mandinka [man],13,-15.67,#82927B,Mande,Senegal
Mandinka_Gambia [mnk],13,-15,#6C938D,Mande,Gambia
Manggarai [mqy],-8.667,120.333,#FBC37E,Austronesian,Indonesia
Manggarayi [mpc],-14.667,133.5,#724667,Gunwinyku,Australia
Maninka [emk],13,-10,#729A91,Mande,Mali
Manobo_Western Bukidnon [mbb],7.667,124.833,#D38441,Austronesian,Philippines
Mansi [mns],62,62,#2E9151,Uralic,Russia
Manx [glv],56.2,-4.5,#717837,Indo-European,Britain
Maonan [mmd],25,108.5,#CDD197,Tai-Kadai,China
Maori [mri],-39,176.5,#B1A765,Austronesian,New Zealand
Mapudungun [arn],-36,-72,#7E6873,Araucanian,Chile
Mara [mec],-15.1,135.2,#85358C,Mara-Warndarang-Alawa,Australia
Marathi [mar],18,74.5,#1FA954,Indo-European,India
Margany [zmc],-26.5,145,#2BBD56,Pama-Nyungan,Australia
Margi [mrt],11,13,#CC629F,Afro-Asiatic,Nigeria
Maricopa [mrc],33.17,-113.17,#5730B9,Yuman-Cochimi,USA
Marind [mrz],-8,140.5,#704296,Marind,Indonesia
Marquesan_Ua Pou [mrq],-9.33,-140,#A2B94D,Austronesian,French Polynesia
Marshallese [mah],12.5,162.5,#F38C7A,Austronesian,USA Federated States of Micronesia
Martuthunira [vma],-21,116.5,#5E9154,Pama-Nyungan,Australia
Matbat [xmt],-2,130.33,#DB6CC7,Austronesian,Indonesia
Matengo [mgv],-11,34.67,#C34A7B,Niger-Kongo,Tanzania
Matngele [zml],-13.833,130.417,#8B5AA7,East Daly,Australia
Maung [mph],-11.917,133.5,#AF5262,Iwaidjan,Australia
Maxakali [mbl],-18,-40,#7A7BA6,Macro-Je,Brazil
Mbabaram [vmb],-16.85,144.8,#53C68D,Pama-Nyungan,Australia
Mbaham [bdw],-3,132.5,#465BC6,Trans New Guinea,Indonesia
Mehri [gdq],16,52,#735A25,Afro-Asiatic,Yemen
Meitei [mni],24.75,94,#4F9AA9,Tibeto-Burman,India
Mekeo [mek],-8.5,146.467,#8E3EB6,Austronesian,Papua New Guinea
Melanau [mel],4.4,114,#F78B67,Austronesian,Malaysia
Memba [tsj-2],29,94.8,#46BEAB,Tibeto-Burman,India
Mende [men],8,-11.5,#8A8492,Mande,Sierra Leone
Menya [mcr],-7.25,146,#6230C6,Trans New Guinea,Papua New Guinea
Meryam Mir [ulk],-9.92,144.08,#42CA6D,Eastern Trans Fly,Australia
Meteq [xem],0.7,110.5,#E7996B,Austronesian,Indonesia
Meyah [mej],-1,133.667,#CA65C3,East Bird's Head,Indonesia
Mian [mpt],-4.667,141.25,#405FB6,Trans New Guinea,Papua New Guinea
Mien [ium-6],24.583,112.267,#D9D991,Hmong-Mien,China
Mien_Yao [ium],20.833,101.167,#CDD5A4,Hmong-Mien,Laos
Miji [sjl],27.54,92.6,#48A7AA,Tibeto-Burman,India
Miju [mxj],28,97,#2088A9,Tibeto-Burman,India
Milang [xxx-122],28.6,94.5,#25C399,Tibeto-Burman,India
Mina [gej],6.6,1.5,#E5C0A6,Niger-Kongo,Togo
Minangkabau [min],0,100.167,#DFA070,Austronesian,Indonesia
Miriwung [mep],-15.667,129,#503D72,Jarrakan,Australia
Mising [mrg],27.5,94.3,#33B2A3,Tibeto-Burman,India
Miwok [skd],37.5,-120,#4F613A,Miwok,USA
Mixtec [mim],17,-99,#CE7550,Otomanguean,Mexico
Miya [mkf],11,10,#C76347,Afro-Asiatic,Nigeria
Mizo [lus],23.167,92.833,#79A8B9,Tibeto-Burman,India
Mlabri [mra],18.833,101,#E9FBA6,Austroasiatic,Thailand
Mnar [pbv-2],25.9,91.58,#A2885B,Austroasiatic,India
Moghol [mhj],35,62,#2F9759,Mongolic,Afghanistan
Mohave [mov],34.67,-114.58,#513FC1,Yuman-Cochimi,USA
Moken [mwt],11,98.5,#F8DAA9,Austronesian,Myanmar
Mokilese [mkj],6.667,159.75,#F2916F,Austronesian,USA Federated States of Micronesia
Momu [fqs],-3.167,141.667,#476691,Kwomtari,Papua New Guinea
Mon [mnw],15,100,#F6EB9C,Austroasiatic,Thailand
Mongguor [mjg],36,102,#2F9A70,Mongolic,China
Mongolian [mon],50,105,#249585,Mongolic,Mongolia
Moni [mnz],-3.583,136.833,#22429C,Trans New Guinea,Indonesia
Mono [mnr],38,-119,#455B6F,Uto-Aztecan,USA
Montagnais [moe],52,-65,#86278D,Algic,Canada
Mor [mhz],-2.917,135.75,#BF72A0,Austronesian,Indonesia
Mor [moq],-2.833,132.75,#9947D5,Mor,Indonesia
Motu [meu],-9.5,147.25,#A66DA1,Austronesian,Papua New Guinea
Motuna [siw],-6.617,155.417,#4B4EB0,East Bougainville,Papua New Guinea
Mpur [akc],-0.833,133,#DA89B4,West Papuan,Indonesia
Mru [mro-2],21.45,92.5,#93B1A2,Tibeto-Burman,Bangladesh
Muak Sa-aak [ukk],21.183,100.367,#F4B699,Austroasiatic,Myanmar
Mualang [mtd],0.8,111,#E0A874,Austronesian,Indonesia
Mudukumo [bwm],-4.367,143.867,#3DB197,Yuat,Papua New Guinea
Muk-Thang [xxx-95],-37.75,149,#54755A,Pama-Nyungan,Australia
Mulao [mlm],24.25,109,#DFD888,Tai-Kadai,China
Muna [mnb-2],-5,122.417,#E3625F,Austronesian,Indonesia
Mundang [mua],10.1,14.45,#D07483,Adamawa-Ubangi,Chad
Mundari [unr],24,86.167,#64776B,Austroasiatic,India
Murinbata [mwf],-14.667,129.667,#8B488C,Southern Daly,Australia
Murle [mur],6,33.75,#9D675B,Nilo-Saharan,Sudan
Muruwari [zmu],-29,146.75,#429259,Pama-Nyungan,Australia
Mussau [emi],-1.5,149.667,#E15B64,Austronesian,Papua New Guinea
Mustang [loy],29.18,83.96,#3AAAB3,Tibeto-Burman,Nepal
Mutsun [css-2],36.83,-121.5,#6E5A3D,Yok-Utian,USA
Mwani [wmw],-12.15,40.57,#C5457F,Niger-Kongo,Mozambique
Mwera [mwe],-10,39,#CC4F6E,Niger-Kongo,Tanzania
