name,latitude,longitude,color,family,subgroup,country
Beja [bej],18,36,#8C678A,Afro-Asiatic,Cushitic,Sudan
Tamazight [tzm],33,-4,#A3715E,Afro-Asiatic,Berber,Morocco
Riff [rif],34,-3.75,#986174,Afro-Asiatic,Berber,Morocco
Kabyle [kab],36.5,5,#9A4E67,Afro-Asiatic,Berber,Algeria
Tashelhiyt [shi],31,-5,#A26F61,Afro-Asiatic,Berber,Morocco
Zenaga [zen],16.5,-16,#8D617A,Afro-Asiatic,Berber,Mauritania
Buduma [bdm],13.6,14,#6C806E,Afro-Asiatic,Chadic,Chad
Ga'anda [gqa],10.33,12.58,#776791,Afro-Asiatic,Chadic,Nigeria
Gude [gde],10.05,14.3,#7F6685,Afro-Asiatic,Chadic,Cameroon
Margi [mrt],11,13,#6A8F83,Afro-Asiatic,Chadic,Nigeria
Mofu [mif],10.5,14.2,#668870,Afro-Asiatic,Chadic,Cameroon
Musgu [mug],11,15,#6E7F87,Afro-Asiatic,Chadic,Cameroon
Tera [ttr],11,11.83,#765A95,Afro-Asiatic,Chadic,Nigeria
Awngi [awn],10.83,36.67,#688774,Afro-Asiatic,Cushitic,Ethiopia
Bilin [byn],15.9,38.3,#A0A487,Afro-Asiatic,Cushitic,Eritrea
Qimant [ahg],12.9,37,#90767D,Afro-Asiatic,Cushitic,Ethiopia
Kera [ker],9.83,15.08,#7A8782,Afro-Asiatic,Chadic,Chad
Lele [lln],9.08,15.58,#7A88A0,Afro-Asiatic,Chadic,Chad
Oromo [hae],6.5,40,#8D5E88,Afro-Asiatic,Cushitic,Ethiopia
Rendille [rel],2,37.5,#8370A1,Afro-Asiatic,Cushitic,Kenya
Somali [som],7,47.5,#776085,Afro-Asiatic,Cushitic,Somalia
Dizi [mdx],6.17,36.5,#766960,Afro-Asiatic,Omotic,Ethiopia
Hamer [amf],5,36.5,#779D88,Afro-Asiatic,Omotic,Ethiopia
Ometo [wal],6.6,37.75,#A35885,Afro-Asiatic,Omotic,Ethiopia
Zayse [zay],5.8,37.3,#9C5C7A,Afro-Asiatic,Omotic,Ethiopia
Amharic [amh],10,38,#8C6178,Afro-Asiatic,Semitic,Ethiopia
Arabic_Egyptian [arz],30,30,#9B4985,Afro-Asiatic,Semitic,Egypt
Arabic_Gulf [afb],24,54,#8F3A88,Afro-Asiatic,Semitic,United Arab Emirates
Arabic [arb],30,42,#A16B7A,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Moroccan [ary],34,-7,#9D5675,Afro-Asiatic,Semitic,Morocco
Arabic_Syrian [apc],33,37,#914098,Afro-Asiatic,Semitic,Syria
Arabic_Tunisian [aeb],36,10,#82328D,Afro-Asiatic,Semitic,Tunisia
Chaha [sgw],8.2,38,#9A5561,Afro-Asiatic,Semitic,Ethiopia
Hebrew [heb],31.75,35.17,#9D6E86,Afro-Asiatic,Semitic,Israel
Tigré [tig],16.5,38.5,#956771,Afro-Asiatic,Semitic,Eritrea
Tigrinya [tir],14.5,38.5,#906B74,Afro-Asiatic,Semitic,Ethiopia
Iraqw [irk],-3.5,35,#766696,Afro-Asiatic,Cushitic,Tanzania
Angas [anc],9.75,8.75,#507A92,Afro-Asiatic,Chadic,Nigeria
Goemai [ank],8.67,9.75,#6F769F,Afro-Asiatic,Chadic,Nigeria
Hausa [hau],12,7,#795F7D,Afro-Asiatic,Chadic,Nigeria
Kanakuru [kna],10,12,#6C689E,Afro-Asiatic,Chadic,Nigeria
Miya [mkf],11,10,#737266,Afro-Asiatic,Chadic,Nigeria
Ngizim [ngi],12.08,10.92,#6A4990,Afro-Asiatic,Chadic,Nigeria
Pa'a [pqa],11,9.25,#747E6F,Afro-Asiatic,Chadic,Nigeria
Pero [pip],9.58,11,#75A084,Afro-Asiatic,Chadic,Nigeria
Ainu [ain],43.5,142,#95877B,Ainu,,Japan
Qawésqar [alc],-50,-75,#838774,Alaculufan,,Chile
Blackfoot [bla],50,-112.67,#B38857,Algic,Algonquian,Canada
Cree_Woods [cwd],58,-102,#AA7462,Algic,Algonquian,Canada
Cree_Plains [crk],54,-116,#B28466,Algic,Algonquian,Canada
Massachusetts [wam],42.5,-71,#A97E61,Algic,Algonquian,USA
Menominee [mez],45.5,-88.33,#8F5A76,Algic,Algonquian,USA
Montagnais [moe],52,-65,#B06A6B,Algic,Algonquian,Canada
Ojibwe [ojg],49,-92.5,#925668,Algic,Algonquian,Canada
Passamaquoddy-Maliseet [pqm],45,-67,#98755C,Algic,Algonquian,USA
Wiyot [wiy],40.83,-124.17,#8C5D5A,Algic,Wiyot,USA
Yurok [yur],41.33,-124,#A36682,Algic,Yurok,USA
Buryat [bxm],52,108,#985E9B,Mongolic,Core Mongolic,Russia
Dagur [dta],48,124,#705AB3,Mongolic,Core Mongolic,China
Kalmyk [xal],45,47,#7E7689,Mongolic,Core Mongolic,Russia
