name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#A2BA9C,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#B65C7D,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#879493,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#5E82A2,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#7C8E88,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#9CB183,Tuu,!Kwi,South Africa
A-Hmao [hmd],25.75,106.08,#ADE767,Hmong-Mien,Hmongic,China
Aari [aiw],6,36.6,#3881B9,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#329B73,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#64B744,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#69CB4E,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#6F21A8,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#BC8743,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#9E487C,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#606079,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#A97D80,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#7333C2,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#9DBBE9,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#A29F5D,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#A2DF62,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#CE9E52,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#857167,Arawak,Northern Maipuran,Colombia
Aché [guq],-25.25,-55.17,#65B55E,Tupian,Tupi-Guarani,Paraguay
Achuar [acu],-3,-76,#3F4F9A,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#7D5765,Palaihnihan,,USA
