Language_name	Family_name	subfamily_name	genus_name	status	color	latitude	longitude
Gaikundi	Ndu			unknown/safe	#004CFF	-4.01718	143.139
Gail	Unclassifiable			extinct	#FF009D	-28.77	26.895
Gaina	Nuclear Trans New Guinea			unknown/safe	#0013FF	-9.14409	148.59
Galambu	Afro-Asiatic			unknown/safe	#FF0600	10.1258	10.2542
Galeya	Austronesian			unknown/safe	#FF5E00	-9.54137	150.836
Galela	North Halmahera		North Halmaheran	unknown/safe	#0032FF	2.31461	128.44
Galician	Indo-European		Romance	unknown/safe	#00FF13	42.2446	-7.5343
Galice	Athapaskan-Eyak-Tlingit			extinct	#FF4C00	45.3914	-120.75
Galibi Carib	Cariban		Cariban	vulnerable	#FFD000	5.83772	-56.8323
Gallurese Sardinian	Indo-European			definitely endangered	#00FF13	41.1131	9.24279
Gal	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.16351	145.623
Galo	Sino-Tibetan			vulnerable	#8B00FF	27.749	96.311
Galoli-Talur	Austronesian			unknown/safe	#FF5E00	-8.61074	125.959
Gamale Kham	Sino-Tibetan	Tibeto-Burman	Mahakiranti	definitely endangered	#8B00FF	28.411	82.6749
Gambera	Worrorran			extinct	#FF0058	-14.29546	126.27131
Gambian Wolof	Atlantic-Congo			unknown/safe	#FF5200	13.5337	-16.1544
Gamit	Indo-European			unknown/safe	#00FF13	21.0697	73.6839
Gamilaraay	Pama-Nyungan			critically endangered	#1900FF	-29.9037	149.543
Gamkonora	North Halmahera			unknown/safe	#0032FF	1.34308	127.506
Gamo-Ningi	Atlantic-Congo			extinct	#FF5200	10.9346	9.24843
Gamo	Ta-Ne-Omotic			unknown/safe	#DC00FF	6.27645	37.23808
Birrdhawal	Pama-Nyungan			extinct	#1900FF	-37.62635582	147.8838803
Ganang	Atlantic-Congo			unknown/safe	#FF5200	9.93195	9.09741
//Gana	Khoe-Kwadi			vulnerable	#00FF8B	-21.8555	22.2003
Gana	Austronesian			unknown/safe	#FF5E00	5.57583	116.145
Gan Chinese	Sino-Tibetan			unknown/safe	#8B00FF	27.9896	115.166
Ganda	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	0.66884	32.15153
Gane	Austronesian			unknown/safe	#FF5E00	-0.42618	127.976
Gangte	Sino-Tibetan			definitely endangered	#8B00FF	24.5113	94.1681
Ganggalida	Tangkic			critically endangered	#EF00FF	-17.5446	139.426
Gangulu	Pama-Nyungan			extinct	#1900FF	-22.7637	149.416
Ganglau	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.57945	146.1305
Gants	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.28113	144.771
Ganza	Blue Nile Mao			unknown/safe	#FF8B00	10.2991	35.1373
Ganzi	Atlantic-Congo			unknown/safe	#FF5200	6.544	19.347
Gao	Austronesian			vulnerable	#FF5E00	-8.35163	159.789
Gapapaiwa	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-9.73317	149.854
Garawa	Garrwan			unknown/safe	#78FF00	-17.4504	137.72014
Garhwali	Indo-European			critically endangered	#00FF13	30.5061	78.7201
Garig-Ilgar	Iwaidjan Proper			extinct	#00FF1F	-11.412	132.182
Garifuna	Arawakan			vulnerable	#FF3900	15.3529	-86.9091
Garo	Sino-Tibetan	Tibeto-Burman	Bodo-Garo	unknown/safe	#8B00FF	25.2954	90.462
Garre	Afro-Asiatic			unknown/safe	#FF0600	2.29633	44.6862
Garus	Nuclear Trans New Guinea		Madang	unknown/safe	#0013FF	-4.9222	145.683
Gata'	Austroasiatic			severely endangered	#FF5800	18.6076	82.984
Gavar	Afro-Asiatic			unknown/safe	#FF0600	10.5603	13.8188
Gavião Do Jiparaná	Tupian		Monde	vulnerable	#FF00BD	-10.7235	-61.6752
Gawar-Bati	Indo-European			definitely endangered	#00FF13	35.1982	71.5428
Gawwada	Afro-Asiatic			unknown/safe	#FF0600	5.37869	37.2737
Gayil	South Omotic			unknown/safe	#B700FF	6.15034	36.67211
Gayo	Austronesian		Northwest Sumatra-Barrier Islands	unknown/safe	#FF5E00	4.3733	97.3456
Gazi	Indo-European			definitely endangered	#00FF13	34.0357	49.4553
Gbagyi	Atlantic-Congo	Benue-Congo	Nupoid	unknown/safe	#FF5200	9.29842	6.90495
Gbanziri-Boraka	Atlantic-Congo			unknown/safe	#FF5200	4.68467	20.2609
Gbanu	Atlantic-Congo			unknown/safe	#FF5200	5.28183	17.3887
Gbari	Atlantic-Congo			unknown/safe	#FF5200	8.46411	7.10757
Gbayi	Atlantic-Congo			unknown/safe	#FF5200	5.57378	21.9707
Gbaya-Mbodomo	Atlantic-Congo		Gbaya-Manza-Ngbaka	unknown/safe	#FF5200	4.800365	14.606865
Gbaya-Bozoum	Atlantic-Congo			unknown/safe	#FF5200	5.9879	16.4643
Gbaya-Bossangoa	Atlantic-Congo		Gbaya-Manza-Ngbaka	unknown/safe	#FF5200	6.61896	17.645
Gbaya (Sudan)	Kresh-Aja			unknown/safe	#00FFC3	8.43391	25.5173
Gbesi Gbe	Atlantic-Congo			unknown/safe	#FF5200	6.55911	2.0269
Gbii	Atlantic-Congo			unknown/safe	#FF5200	5.87021	-8.9346
Gbin	Mande			extinct	#00D0FF	8.020857	-2.811213
Gbiri-Niragu	Atlantic-Congo			unknown/safe	#FF5200	10.3923	8.43157
Gboloo Grebo	Atlantic-Congo			unknown/safe	#FF5200	4.75405	-7.66699
Geba Karen	Sino-Tibetan			unknown/safe	#8B00FF	19.4991	96.9492
Gebe	Austronesian			vulnerable	#FF5E00	-0.07877	129.424
Gedaged	Austronesian			unknown/safe	#FF5E00	-5.18175	145.781
Gedeo	Afro-Asiatic			unknown/safe	#FF0600	6.18469	38.2395
Ge	Hmong-Mien			unknown/safe	#19FF00	26.8542	107.823
Geez	Afro-Asiatic			extinct	#FF0600	10.1342	40.6821
Geico	Nuclear-Macro-Je			extinct	#000DFF	-6.56	-43
Geji	Afro-Asiatic			severely endangered	#FF0600	10.3478	9.64965
Geko Karen	Sino-Tibetan			unknown/safe	#8B00FF	19.6741	96.5308
Gela	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-9.04587	160.186
Gelao Mulao	Tai-Kadai			unknown/safe	#E300FF	26.574605	107.239537
Geme	Atlantic-Congo			critically endangered	#FF5200	8.48359	20.6611
Gende	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.67528	145.177
Gen	Atlantic-Congo			unknown/safe	#FF5200	6.25971	1.67727
Gepo	Sino-Tibetan			unknown/safe	#8B00FF	25.7	102.5
Gera	Afro-Asiatic			vulnerable	#FF0600	10.4331	10.12
Geruma	Afro-Asiatic			unknown/safe	#FF0600	10.4775	9.78484
Geser-Gorom	Austronesian			unknown/safe	#FF5E00	-3.8016	130.701
Ghadames	Afro-Asiatic			vulnerable	#FF0600	30.1168	10.0165
Ghanongga	Austronesian			unknown/safe	#FF5E00	-8.02035	156.552
Ghanaian Pidgin English	Indo-European			unknown/safe	#00FF13	5.793241	-0.283641
Ghari	Austronesian			unknown/safe	#FF5E00	-9.4791	159.917
Ghayavi	Austronesian			unknown/safe	#FF5E00	-10.011	149.84
Gheg Albanian	Indo-European			unknown/safe	#00FF13	42.317	21.3837
Ghera	Indo-European			unknown/safe	#00FF13	25.383	68.368
Godoberi	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#0065FF	42.7428	46.2252
Ghomálá'	Atlantic-Congo			unknown/safe	#FF5200	5.39619	10.352
Ghomara	Afro-Asiatic			critically endangered	#FF0600	34.7979	-4.6696
Ghotuo	Atlantic-Congo	Benue-Congo	Edoid	unknown/safe	#FF5200	7.11551	5.95663
Uncunwee	Nubian		Nubian	unknown/safe	#001FFF	11.6432	29.8122
Giangan	Austronesian			unknown/safe	#FF5E00	6.99967	125.359
Gibanawa	Pidgin			extinct	#3900FF	12.584	8.615
Gidar	Afro-Asiatic	Chadic	Biu-Mandara	unknown/safe	#FF0600	9.874715	14.07845
Giiwo	Afro-Asiatic			unknown/safe	#FF0600	10.35754	10.46037
Gikyode	Atlantic-Congo			unknown/safe	#FF5200	8.39478	0.56975
Gilaki	Indo-European		Iranian	unknown/safe	#00FF13	37.1344	49.8359
Gilbertese	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-1.34	176.44
Gilima	Atlantic-Congo			unknown/safe	#FF5200	4.5585	19.0091
Gimi (West New Britain)	Austronesian			unknown/safe	#FF5E00	-6.02464	149.478
Gimi (Eastern Highlands)	Nuclear Trans New Guinea			unknown/safe	#0013FF	-6.42097	145.214
Gimme	Atlantic-Congo			unknown/safe	#FF5200	8.58084	12.6658
Gimnime	Atlantic-Congo			unknown/safe	#FF5200	8.58129	12.7869
Ginuman	Dagan			unknown/safe	#D6FF00	-10.0298	149.7
Ginyanga	Atlantic-Congo			unknown/safe	#FF5200	8.2327	0.98348
Girawa	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.35342	145.423
Girirra	Afro-Asiatic			unknown/safe	#FF0600	5.76	42.17
Giryama	Atlantic-Congo			unknown/safe	#FF5200	-3.30638	39.6648
Gitonga	Atlantic-Congo			unknown/safe	#FF5200	-23.7964	35.1577
Gitua	Austronesian			unknown/safe	#FF5E00	-6.0151	147.485
Gitxsan	Tsimshian		Tsimshianic	severely endangered	#FF00D0	55.09	-128.08
Giyug	Unattested			extinct	#FF00A4	-13.2001	130.092
Gizey	Afro-Asiatic			unknown/safe	#FF0600	10.023278	15.269103
Gizrra	Eastern Trans-Fly			unknown/safe	#91FF00	-9.183	142.804
Glaro-Twabo	Atlantic-Congo			unknown/safe	#FF5200	5.23264	-7.50317
Glavda	Afro-Asiatic			unknown/safe	#FF0600	11.1334	13.8652
Glio-Oubi	Atlantic-Congo			unknown/safe	#FF5200	5.39966	-7.50585
Gnau	Nuclear Torricelli			unknown/safe	#0019FF	-3.59093	142.196
Goan Konkani	Indo-European			unknown/safe	#00FF13	15.2732	74.2098
Goaria	Indo-European			unknown/safe	#00FF13	27.253	68.363
Gobasi	East Strickland			unknown/safe	#A4FF00	-6.48678	142.201
Gobu	Atlantic-Congo			unknown/safe	#FF5200	5.01201	20.0194
Godié	Atlantic-Congo		Kru	unknown/safe	#FF5200	5.3944	-5.82696
Godwari	Indo-European			unknown/safe	#00FF13	24.885	72.846
Goemai	Afro-Asiatic	Chadic	West Chadic	unknown/safe	#FF0600	8.74455	9.72453
Gofa	Ta-Ne-Omotic			unknown/safe	#DC00FF	6.57645	37.05
Gogo	Atlantic-Congo			unknown/safe	#FF5200	-6.35951	35.4807
Gogodala	Suki-Gogodala		Gogodala	unknown/safe	#D000FF	-8.08527	142.874
Gokana	Atlantic-Congo	Benue-Congo	Cross River	unknown/safe	#FF5200	4.61889	7.34457
Gola	Atlantic-Congo	Atlantic	Mel	unknown/safe	#FF5200	7.06193	-10.8138
Golin	Nuclear Trans New Guinea		Chimbu	unknown/safe	#0013FF	-6.2249	144.8505
Gone Dau	Austronesian			unknown/safe	#FF5E00	-16.5886	178.599
Gongduk	Sino-Tibetan			vulnerable	#8B00FF	27.066	91.1686
Gonja	Atlantic-Congo			unknown/safe	#FF5200	8.48801	-0.72757
Gooniyandi	Bunaban			severely endangered	#FFBD00	-18.4073	126.351
Gorap	Austronesian			definitely endangered	#FF5E00	2.13058	128.261
Gorakor	Austronesian			unknown/safe	#FF5E00	-6.85564	146.579
Gorontalo	Austronesian		Greater Central Philippine	unknown/safe	#FF5E00	0.62689	122.288
Gorovu	Lower Sepik-Ramu			unknown/safe	#00F6FF	-4.52947	144.59
Gorowa	Afro-Asiatic	Cushitic	Southern Cushitic	unknown/safe	#FF0600	-4.23575	35.7996
Gor	Central Sudanic			unknown/safe	#FFD600	8.0841	17.0713
Gothic	Indo-European			extinct	#00FF13	46.9304	29.9786
Goundo	Atlantic-Congo			critically endangered	#FF5200	9.46683	16.255
Gourmanchéma	Atlantic-Congo		Gur	unknown/safe	#FF5200	11.6711	1.28489
Gowro	Indo-European			severely endangered	#00FF13	35.1243	73.1233
Gozarkhani	Indo-European			definitely endangered	#00FF13	36.4133	50.6987
Grangali	Indo-European			severely endangered	#00FF13	34.6485	70.7323
Grass Koiari	Koiarian		Koiarian	vulnerable	#00FFA4	-9.51218	147.437
Hagei Gelao	Tai-Kadai			critically endangered	#E300FF	22.5632	104.698
Grenadian Creole English	Indo-European			unknown/safe	#00FF13	12.0067	-61.6989
Gresi	Nimboranic			unknown/safe	#003FFF	-2.72229	140.279
Groma	Sino-Tibetan			unknown/safe	#8B00FF	27.6089	88.8541
Gronings	Indo-European			vulnerable	#00FF13	53.2842	6.698
Gros Ventre	Algic			critically endangered	#FF1300	48.4834	-108.738
Gua	Atlantic-Congo			unknown/safe	#FF5200	6.52106	0.16932
Guadeloupean Creole French	Indo-European		Creoles and Pidgins	unknown/safe	#00FF13	14.4989	-61.0228
Guahibo	Guahiboan		Guahiban	vulnerable	#52FF00	5.81736	-68.9839
Guajá	Tupian			vulnerable	#FF00BD	-3.93574	-46.3683
Guambiano	Barbacoan		Barbacoan	definitely endangered	#FF7E00	2.55849	-76.582
Khroskyabs	Sino-Tibetan			unknown/safe	#8B00FF	31.5655	101.928
Guana (Paraguay)	Lengua-Mascoy		Mascoian	critically endangered	#00FFF6	-21.9803	-58.0654
Kotiria	Tucanoan		Tucanoan	vulnerable	#FF00C9	1.07554	-69.5705
Guanche	Afro-Asiatic			extinct	#FF0600	28	-15.5
Guarayu	Tupian			definitely endangered	#FF00BD	-15.8247	-61.6934
Baniva de Maroa	Arawakan			critically endangered	#FF3900	1.80835	-66.922505
Guaru	Arawakan			extinct	#FF3900	-0.25	-71.65
Guayabero	Guahiboan		Guahiban	definitely endangered	#52FF00	2.8969	-71.844
Guazapar	Uto-Aztecan			extinct	#FF008B	27.357	-108.279
Gubeeher-Gufangor-Gubelor	Atlantic-Congo			unknown/safe	#FF5200	12.56	-17.19
Gudanji	Mirndi			extinct	#00A4FF	-17.5349	134.395
Gudang	Pama-Nyungan			extinct	#1900FF	-10.91613599	142.5768928
Gude	Afro-Asiatic	Chadic	Biu-Mandara	unknown/safe	#FF0600	10.2138	13.403
Gudjal	Pama-Nyungan			extinct	#1900FF	-19.44157406	144.6482584
Gudu	Afro-Asiatic			unknown/safe	#FF0600	10.1206	12.5359
Guduf-Gava	Afro-Asiatic	Chadic	Biu-Mandara	unknown/safe	#FF0600	11.1057	13.7893
Güenoa	Charruan			extinct	#FFE300	-33.810189	-54.473877
Central Guerrero Nahuatl	Uto-Aztecan		Aztecan	unknown/safe	#FF008B	17.8583	-99.0023
Gueren	Nuclear-Macro-Je			extinct	#000DFF	-17.726974	-39.61441
Guerrero Amuzgo	Otomanguean		Amuzgoan	unknown/safe	#0600FF	16.77226	-98.18953
Guevea De Humboldt Zapotec	Otomanguean			unknown/safe	#0600FF	16.7312	-95.3641
Gugadj	Pama-Nyungan			extinct	#1900FF	-17.8372	141.168
Gugu Badhun	Pama-Nyungan			extinct	#1900FF	-18.4921	144.46
Gugubera	Pama-Nyungan			severely endangered	#1900FF	-15.4296	141.635
Guugu Yimidhirr	Pama-Nyungan			vulnerable	#1900FF	-14.9424	144.831
Roth's Gugu Warra	Pama-Nyungan			extinct	#1900FF	-12.713	142.569
Guhu-Samane	Nuclear Trans New Guinea		Binanderean	unknown/safe	#0013FF	-7.99922	147.228
Guianese Creole French	Indo-European		Creoles and Pidgins	unknown/safe	#00FF13	4.94804	-52.7336
Guiberoua Béte	Atlantic-Congo			unknown/safe	#FF5200	6.13837	-6.51291
Güilá Zapotec	Otomanguean			unknown/safe	#0600FF	16.8824	-96.4572
Guinea Kpelle	Mande			unknown/safe	#00D0FF	7.93196	-8.98843
Guinau	Arawakan			extinct	#FF3900	4.797607	-64.73877
Guiqiong	Sino-Tibetan			vulnerable	#8B00FF	30.4803	102.128
Gujarati	Indo-European		Indic	unknown/safe	#00FF13	22.687	71.0962
Gujari	Indo-European		Indic	unknown/safe	#00FF13	34.3768	73.1461
Gula Iro	Atlantic-Congo	Adamawa-Ubangi	Adamawa	unknown/safe	#FF5200	10.267	19.5359
Gula (Central African Republic)	Central Sudanic			unknown/safe	#FFD600	9.49092	23.3805
Gulay	Central Sudanic			unknown/safe	#FFD600	9.06629	17.3151
Gula (Chad)	Central Sudanic		Bongo-Bagirmi	unknown/safe	#FFD600	10.3049	19.2182
Gula'alaa	Austronesian			unknown/safe	#FF5E00	-8.74742	161.023
Gulf Arabic	Afro-Asiatic		Semitic	unknown/safe	#FF0600	30.17	47.5
Sea Island Creole English	Indo-European			unknown/safe	#00FF13	33.6632	-79.6036
Gumatj	Pama-Nyungan			unknown/safe	#1900FF	-12.25254	136.83042
Gumawana	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-9.28497	150.762
Gumalu	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.22189	145.618
Northern Gumuz	Gumuz			unknown/safe	#45FF00	11.05	35.93
Gundi	Atlantic-Congo			unknown/safe	#FF5200	3.45973	15.7334
Gungabula	Pama-Nyungan			extinct	#1900FF	-25.6896	148.604
Gungu	Atlantic-Congo			unknown/safe	#FF5200	2.06754	31.4819
Gun	Atlantic-Congo		Kwa	unknown/safe	#FF5200	6.48529	2.76767
Warta Thuntai	Morehead-Wasur			unknown/safe	#0078FF	-8.80806	141.253
Bininj Kun-Wok	Gunwinyguan	Gunwinyguan	Gunwinygic	vulnerable	#3FFF00	-12.3398	133.358
Gunya	Pama-Nyungan			extinct	#1900FF	-27.0642	145.862
Gupapuyngu	Pama-Nyungan			vulnerable	#1900FF	-12.2868	135.337
Gupa-Abawa	Atlantic-Congo			unknown/safe	#FF5200	8.21291	6.69128
Gurani	Indo-European		Iranian	definitely endangered	#00FF13	36.8377	44.4956
Guragone	Maningrida		Burarran	vulnerable	#00C3FF	-12.66855	134.09501
Guramalum	Austronesian			extinct	#FF5E00	-4.26666	152.933
Gurdjar	Pama-Nyungan			unknown/safe	#1900FF	-17.1653	141.145
Gureng Gureng	Pama-Nyungan			extinct	#1900FF	-25.3893	151.175
Gurgula	Indo-European			unknown/safe	#00FF13	25.737	68.565
Gurgani	Indo-European			extinct	#00FF13	36.83	54.43
Gurinji	Pama-Nyungan			definitely endangered	#1900FF	-17.0329	130.379
Gurmana	Atlantic-Congo			severely endangered	#FF5200	10.1487	6.79456
Guro	Mande		Eastern Mande	unknown/safe	#00D0FF	7.34954	-6.31154
Gurung	Sino-Tibetan			unknown/safe	#8B00FF	27.41687	86.28988
Guruntum-Mbaaru	Afro-Asiatic			severely endangered	#FF0600	9.87332	10.162
Gusan	Nuclear Trans New Guinea			unknown/safe	#0013FF	-6.28998	146.679
Gusilay	Atlantic-Congo			vulnerable	#FF5200	12.7761	-16.5026
Gusii	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	-0.78872	34.76751
Guwa	Pama-Nyungan			extinct	#1900FF	-21.35147706	142.5243782
Guwamu	Pama-Nyungan			extinct	#1900FF	-27.8289	148.867
Guwar	Pama-Nyungan			extinct	#1900FF	-27.16698973	153.3998245
Guyani	Pama-Nyungan			extinct	#1900FF	-34.739	137.661
Guya	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.70374	146.453
Gvoko	Afro-Asiatic			unknown/safe	#FF0600	10.9918	13.7537
Gwa	Atlantic-Congo			unknown/safe	#FF5200	10.3069	9.11434
Gwahatike	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.64555	146.455
Gwamhi-Wuri	Atlantic-Congo			critically endangered	#FF5200	11.8081	5.07897
Gwandara	Afro-Asiatic			unknown/safe	#FF0600	9.20464	7.49931
Gwara	Atlantic-Congo			unknown/safe	#FF5200	9.49	7.88
Gweda	Austronesian			definitely endangered	#FF5E00	-10.2173	150.421
Gweno	Atlantic-Congo			critically endangered	#FF5200	-3.68407	37.6827
Gwere	Atlantic-Congo			unknown/safe	#FF5200	1.11392	33.8227
Gwich'in	Athapaskan-Eyak-Tlingit		Athapaskan	severely endangered	#FF4C00	67.4307	-142.963
/Gwi	Khoe-Kwadi			vulnerable	#00FF8B	-22.2708	21.9431
Gyele	Atlantic-Congo			definitely endangered	#FF5200	2.47457	10.2493
Gyem	Atlantic-Congo			critically endangered	#FF5200	10.4109	9.23923
Ha	Atlantic-Congo			unknown/safe	#FF5200	-3.77873	30.4894
Habu	Austronesian			vulnerable	#FF5E00	-8.76565	125.965
Hadiyya	Afro-Asiatic			unknown/safe	#FF0600	7.57377	37.7577
Hadothi	Indo-European			unknown/safe	#00FF13	24.8546	75.8366
Hadrami Arabic	Afro-Asiatic			unknown/safe	#FF0600	15.4468	48.6524
Haeke	Austronesian			definitely endangered	#FF5E00	-21.0735	164.869
Hahon	Austronesian			unknown/safe	#FF5E00	-5.59031	154.801
Haigwai	Austronesian			unknown/safe	#FF5E00	-10.2741	150.256
Hainyaxo Bozo	Mande			unknown/safe	#00D0FF	13.8734	-5.65085
Hai//om	Khoe-Kwadi			unknown/safe	#00FF8B	-19.7637	17.0299
Haisla	Wakashan		Northern Wakashan	critically endangered	#FF0084	53.964	-128.602
Haitian Vodoun Culture Language	Unclassifiable			extinct	#FF009D	18.911	-72.394
Haitian	Indo-European		Creoles and Pidgins	unknown/safe	#00FF13	18.795135	-72.136115
Haji	Austronesian			unknown/safe	#FF5E00	-5.07781	104.714
Hajong	Indo-European			unknown/safe	#00FF13	25.5143	89.8594
Haka Chin	Sino-Tibetan	Tibeto-Burman	Kuki-Chin	unknown/safe	#8B00FF	22.8735	92.8208
Hakka Chinese	Sino-Tibetan		Chinese	unknown/safe	#8B00FF	25	116
Hakö	Austronesian			unknown/safe	#FF5E00	-5.06832	154.594
Halang	Austroasiatic	Mon-Khmer	Bahnaric	unknown/safe	#FF5800	14.7862	107.457
Halang Doan	Austroasiatic			unknown/safe	#FF5800	14.9704	107.86
Halbi	Indo-European		Indic	unknown/safe	#00FF13	20.3081	81.3742
Halh Mongolian	Mongolic		Mongolic	definitely endangered	#007EFF	48.324	106.289
Halia	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-5.26603	154.662
Halkomelem	Salishan		Central Salish	severely endangered	#6500FF	48.0751	-122.029
Hamap	Timor-Alor-Pantar			unknown/safe	#FF00E3	-8.26749	124.522
Ham	Afro-Asiatic			unknown/safe	#FF0600	9.951721	15.590037
Hamba de Lomela	Atlantic-Congo			unknown/safe	#FF5200	-2.49047	24.2299
Hamer-Banna	South Omotic	Omotic	South Omotic	unknown/safe	#B700FF	5.06515	36.5176
Hamtai	Angan		Angan	unknown/safe	#FF1F00	-7.54975	146.227
Hanga	Atlantic-Congo			unknown/safe	#FF5200	9.33929	-1.57833
Hangaza	Atlantic-Congo			unknown/safe	#FF5200	-2.52347	30.7074
Hanga Hundi	Ndu		Middle Sepik	unknown/safe	#004CFF	-3.90364	142.849
Hani	Sino-Tibetan	Tibeto-Burman	Burmese-Lolo	unknown/safe	#8B00FF	22.67753	102.851673333
Han	Athapaskan-Eyak-Tlingit			critically endangered	#FF4C00	64.5002	-140.352
Hano	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-15.5432	168.167
Hanunoo	Austronesian		Greater Central Philippine	unknown/safe	#FF5E00	12.4159	121.221
Haraza	Nubian			extinct	#001FFF	15.083	30.417
Harari	Afro-Asiatic		Semitic	unknown/safe	#FF0600	9.30485	42.1332
Indo-Aryan Kinnauri	Indo-European			unknown/safe	#00FF13	31.784	77.064
Haroi	Austronesian			unknown/safe	#FF5E00	13.2201	108.995
Harsusi	Afro-Asiatic		Semitic	definitely endangered	#FF0600	19.6511	56.1562
Haruku	Austronesian			unknown/safe	#FF5E00	-3.57029	128.476
Haruai	Piawi			unknown/safe	#3200FF	-5.09522	144.3375
Haryanvi	Indo-European			unknown/safe	#00FF13	29.0166	76.0432
Harzani	Indo-European			definitely endangered	#00FF13	38.4341	48.2848
Hasha	Atlantic-Congo			unknown/safe	#FF5200	9.14063	8.66137
Hassaniyya	Afro-Asiatic		Semitic	unknown/safe	#FF0600	20.1464	-2.40278
Hatam	Hatam-Mansim			critically endangered	#2CFF00	-1.13531	134.037
Haush	Chonan			extinct	#F6FF00	-54.7	-65.5
Hausa	Afro-Asiatic	Chadic	West Chadic	unknown/safe	#FF0600	11.1513	8.7804
Havasupai-Walapai-Yavapai	Cochimi-Yuman		Yuman	definitely endangered	#E3FF00	35.6302	-113.385
Haveke	Austronesian			definitely endangered	#FF5E00	-21.0249	164.753
Havu	Atlantic-Congo			unknown/safe	#FF5200	-1.99975	28.8624
Hawaiian	Austronesian	Eastern Malayo-Polynesian	Oceanic	critically endangered	#FF5E00	19.6297	-155.43
Hawai'i Creole English	Indo-European		Creoles and Pidgins	unknown/safe	#00FF13	19.6287	-155.437
Hawkesbury	Pama-Nyungan			unknown/safe	#1900FF	-33.11470744	150.4952383
Haya	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	-1.70878	31.4846
Hazaragi	Indo-European			unknown/safe	#00FF13	33.3708	64.5105
Hdi	Afro-Asiatic	Chadic	Biu-Mandara	unknown/safe	#FF0600	10.942	13.6881
Modern Hebrew	Afro-Asiatic		Semitic	unknown/safe	#FF0600	31.1056	35.0179
Hehe	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	-7.71572	35.7255
Ebang	Heibanic			severely endangered	#26FF00	11.2908	30.5282
Heiltsuk-Oowekyala	Wakashan		Northern Wakashan	critically endangered	#FF0084	51.7045	-127.221
Lamjung-Melamchi Yolmo	Sino-Tibetan			unknown/safe	#8B00FF	27.9212	85.6289
Helong	Austronesian			severely endangered	#FF5E00	-10.2647	123.377
Hema	Atlantic-Congo			unknown/safe	#FF5200	1.04953	30.0872
Hemba-Yazi	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	-7.77459	27.5913
Herde	Afro-Asiatic			unknown/safe	#FF0600	9.14343	14.9267
Herero	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	-21.0231	20.5655
Hermit	Austronesian			critically endangered	#FF5E00	-1.52891	145.075
Hertevin	Afro-Asiatic			critically endangered	#FF0600	37.373	42.5192
Hewa	Sepik			unknown/safe	#7800FF	-5.03635	142.551
Heyo	Nuclear Torricelli			unknown/safe	#0019FF	-3.83003	142.471
Hiberno-Scottish Gaelic	Indo-European			unknown/safe	#00FF13	55.932	-5.222
Hibito	Hibito-Cholon			extinct	#1FFF00	-6.58333	-77.7
Hidatsa	Siouan		Siouan	definitely endangered	#9100FF	47.7534	-102.528
Higaonon	Austronesian			unknown/safe	#FF5E00	8.61202	125.071
Highland Oaxaca Chontal	Tequistlatecan			severely endangered	#FF00EF	16.1849	-95.7301
Highland Totonac	Totonacan			severely endangered	#FF00D6	20.3798	-97.6159
Highland Konjo	Austronesian			unknown/safe	#FF5E00	-5.26559	119.928
Highland Popoluca	Mixe-Zoque			vulnerable	#0091FF	18.198	-94.9109
Highland Puebla Nahuatl	Uto-Aztecan		Aztecan	unknown/safe	#FF008B	20.1554	-97.5556
Hijazi Arabic	Afro-Asiatic		Semitic	unknown/safe	#FF0600	22.8346	38.9237
Hijuk	Atlantic-Congo			critically endangered	#FF5200	4.39641	10.9081
Hiligaynon	Austronesian		Greater Central Philippine	unknown/safe	#FF5E00	10.4018	122.974
Himarimã	Unattested			unknown/safe	#FF00A4	-6.25217	-64.70047
Hinduri	Indo-European			critically endangered	#00FF13	31.016	77.144
Hindi	Indo-European		Indic	unknown/safe	#00FF13	25	77
Hinuq	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#0065FF	42.4502	45.8064
