name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#1992C0,Tuu,Tuu,S Africa
’Weenhayek [mtp],-21.99,-63.6,#5853AF,Matacoan,Mataguayo II,SE South America
||Ana [gnk],-22.2,22.4,#1B8E7B,Khoe,Khoe,S Africa
||Ani [hnh],-19.3,22.5,#258D98,Khoe,Khoe,S Africa
||Gana [gnk-2],-19,22.5,#1FA973,Khoe,Khoe,S Africa
||Xekwi [xeg],-23,22,#3464BA,Tuu,Tuu,S Africa
|Gwi [gwj],-22.435,21.654,#1B939F,Khoe,Khoe,S Africa
|Xam [xam],-30.34,21.82,#37979F,Tuu,Tuu,S Africa
A-Hmao [hmd],25.75,106.08,#39A0FC,Hmong-Mien,Hmongic,Southeast Asia-mainland
A'iwa [ash],-2,-74.5,#765A5A,A'iwa,A'iwa,NE South America
A'jië [aji],-21.342,165.459,#A48DAB,Austronesian,Southern Oceanic,Oceania
Aari [aiw],6,36.6,#2A8293,Afro-Asiatic,South Omotic,Greater Abyssinia
Aashing [adi-10],28.99,94.9,#B08F77,Tibeto-Burman,Macro-Tani,Indic
Abanyom [abm],6.499,8.647,#66CA92,Niger-Kongo,Ekoid,African Savannah
Abar [mij-3],6.59,10.26,#43B1AA,Niger-Kongo,Beboid,African Savannah
Abau [aau],-4,141.167,#72AE46,Sepik,Abau,N Coast New Guinea
Abawiri [flh],-3.05,139.21,#39B447,Lakes Plains,Eastern Lakes Plains,Interior New Guinea
Abaza [abq],44.34,41.67,#3509CA,Northwest Caucasus,Abaza-Abkhaz,Greater Mesopotamia
Abduyi [pes-5],29.7,52.07,#566B5B,Indo-European,Indo-Iranian,Greater Mesopotamia
Abé [aba],5.6,-4.38,#44AF84,Niger-Kongo,Kwa,African Savannah
Abelam [abt-2],-3.83,143.17,#C77C7E,Ndu,Nuclear Ndu,N Coast New Guinea
Abellen [abp],15.41,120.2,#A78255,Austronesian,Philippines,Southeast Asia-Island
Abenaki_Western [abe],44,-72.25,#757C4F,Algic,Algonquian,E North America
Aberdeenshire_English [sco-4],57.3,-2,#417D76,Indo-European,Germanic,Europe
Abidji [abi],5.66,-4.58,#49B281,Niger-Kongo,Kwa,African Savannah
Abinomn [bsa],-3,138.8,#727E49,Abinomn,Abinomn,Interior New Guinea
Abipon [axb],-26,-61,#9F695D,Guaicuruan,Southern Guaicuruan,SE South America
Abkhaz [abk],43,41.03,#4117C7,Northwest Caucasus,Abaza-Abkhaz,Greater Mesopotamia
Abkhaz_Bzyp [ady-14],43.32,40.41,#3914D4,Northwest Caucasus,Abaza-Abkhaz,Greater Mesopotamia
Abkhaz_Sadz [ady-13],43.33,40.22,#4011CC,Northwest Caucasus,Abaza-Abkhaz,Greater Mesopotamia
Abron [abr],8.03,-2.8,#3DC565,Niger-Kongo,Kwa,African Savannah
Abruzzo [nap],42.66,13.7,#6B8CAD,Indo-European,Romance,Europe
Abua [abn],4.8,6.654167,#47BA9E,Niger-Kongo,Cross River,African Savannah
Abuan [abn-2],4.83,6.61,#47B5A2,Niger-Kongo,Cross River,African Savannah
Abui [abz],-8.417,124.6,#7DA350,Timor-Alor-Pantar,Alor,Southeast Asia-Island
Abujh_Maria [mrr-2],18.75,80.68,#B8706C,Dravidian,South-Central Dravidian,Indic
Abun [kgr],-0.833,132,#47B772,West Papuan,Birds Head,N Coast New Guinea
Abure [abu],5.22,-3.64,#57C088,Niger-Kongo,Kwa,African Savannah
Acatec [agu-2],15.7,-91.617,#50457C,Mayan,Core Mayan,Mesoamerica
Acatepec Me'paa [tpx],17.1,-99.06,#23B0A5,Otomanguean,Tlapanec-Manguean,Mesoamerica
Aceh_Lhokseumawe [ace-7],5.19,97.14,#71A5B9,Austronesian,Aceh,Southeast Asia-Island
Aceh_Pidie [ace-2],5.38,95.96,#73A6B6,Austronesian,Aceh,Southeast Asia-Island
Acehnese [ace],5.333,96.167,#67A6B0,Austronesian,Aceh,Southeast Asia-Island
Acehnese_Northeast [ace-6],4.62,97.62,#5EA6AD,Austronesian,Aceh,Southeast Asia-Island
Acehnese_South [ace-4],4.1,96.23,#5FA8AD,Austronesian,Aceh,Southeast Asia-Island
Acehnese_Southwest [ace-3],5.05,95.34,#5FA8AB,Austronesian,Aceh,Southeast Asia-Island
Acehnese_West [ace-5],5.47,95.26,#5DAAAC,Austronesian,Aceh,Southeast Asia-Island
Achagua [aca],4.002,-72.814,#7E665D,Arawak,Northern Maipuran,Andean
Achang_Liangchong [acn ],29.46,103.7,#30BCD5,Tibeto-Burman,Burmish,Southeast Asia-mainland
Achang_Lianghe [acn-2],24.8,98.3,#46ACD0,Tibeto-Burman,Burmish,Southeast Asia-mainland
Achang_Longchuan [can-2],24.25,97.833,#46A1E2,Tibeto-Burman,Burmish,Southeast Asia-mainland
Achang_Luxi [can-3],24.527,103.764,#3EB7B2,Tibeto-Burman,Burmish,Southeast Asia-mainland
Aćharêtâʹ [phl-2],35.4,71.75,#5496BB,Indo-European,Indo-Iranian,Indic
Aché [guq],-25.25,-55.17,#809053,Tupian,Tupi-Guarani,SE South America
Achi [acr],15.25,-90.5,#635368,Mayan,Core Mayan,Mesoamerica
Achuar [acu],-3,-76,#976C59,Jivaroan,Shuaric,Andean
Achumawi [acv],41.5,-121,#4753AA,Palaihnihan,Palaihnihan,Basin and Plains
Acipa [acp],10.71,6.01,#188EA8,Niger-Kongo,Kainji,African Savannah
Acoma [kjq-2],34.92,-107.58,#3C74C6,Keresan,Western Keresan,Basin and Plains
Acooli [ach],3.293,32.871,#8DADAA,Nilo-Saharan,Luo-Burun,S Africa
Adamawa Fulfulde [fub],8.9,15.84,#4EA996,Niger-Kongo,North-Central Atlantic,African Savannah
Adang [adn],-8.163,124.456,#848B4D,Timor-Alor-Pantar,Alor,Southeast Asia-Island
Adangme [ada],5.8,0.33,#45BB99,Niger-Kongo,Kwa,African Savannah
Adim [yay],5.81,8.03,#3C9073,Niger-Kongo,Cross River,African Savannah
Adun [mfn-2],6.16,8.23,#4EA996,Niger-Kongo,Cross River,African Savannah
Adyghe [ady],44.1,39.08,#3417BA,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Abzakh [ady-12],44.7,38.9,#2F19C0,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Besleney [ady-6],44.7,40.75,#3213C1,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Black Sea Shapsugh [ady-2],44.375,38.4,#290BD9,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Bzhedug [ady-7],45,39.3,#2B15D1,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Cherkess [ady-10],44.25,42.05,#3314BC,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Hakuchi [ady-9],44.88,38,#3314BC,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Natukai [ady-4],44.4,38.35,#310CCB,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Shapsugh [ady-3],44.3,39,#2A0FD5,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Temirgoy [ady-11],45.125,39.83,#3416BB,Northwest Caucasus,Circassian,Greater Mesopotamia
Adyghe_Uzunyayla [ady-5],44.25,38.77,#3514C0,Northwest Caucasus,Circassian,Greater Mesopotamia
Adynyamathanha [adt],-31,139.5,#EF78A8,Pama-Nyungan,Thura-Yura,S Australia
Adyukru [adj],5.38,-4.53,#71CA9B,Niger-Kongo,Kwa,African Savannah
Adzera [azr],-6.417,146.25,#8B8C5C,Austronesian,North New Guinea,N Coast New Guinea
Aeka [aez],-8.601,147.994,#70A556,Trans New Guinea,Binanderean,S New Guinea
Afar [aar],11.85,42,#857650,Afro-Asiatic,East Cushitic,Greater Abyssinia
Afitti [aft-2],12.44,31,#85BB8B,Nilo-Saharan,Nyimang,African Savannah
Afrikaans [afr],-33.9,18.5,#74A56B,Indo-European,Germanic,S Africa
Afshar [azj-2],37.475,57.33,#5A738D,Turkic,Common Turkic,Greater Mesopotamia
Aftari_Komisenian [sqo-2],35.6,53.11,#5D6958,Indo-European,Indo-Iranian,Greater Mesopotamia
Agabag [mvv-3],3.965,117.095,#B4936F,Austronesian,North Borneo,Southeast Asia-Island
