name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#D5C199,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#BE9F60,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#EDEAE0,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#85B5CC,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#E2EBEC,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#DCCBA7,Tuu,!Kwi,South Africa
A-Hmao [hmd],25.75,106.08,#C7AC75,Hmong-Mien,Hmongic,China
Aari [aiw],6,36.6,#156898,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#0B5F92,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#95BED3,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#A5C9D9,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#B6D3E1,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#B5924B,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#D8C6A0,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#8EBAD0,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#CDB583,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#C6DCE7,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#DCCBA7,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#D2BD92,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#D2BD92,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#9F711B,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#EDECE5,Arawak,Northern Maipuran,Colombia
Aché [guq],-25.25,-55.17,#9EC3D6,Tupian,Tupi-Guarani,Paraguay
Achuar [acu],-3,-76,#2777A2,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#E2EBEC,Palaihnihan,,USA
Acoma [kjq-2],34.92,-107.58,#DCCBA7,Keresan,Western Keresan,USA
Adang [adn],-8.163,124.456,#E2D4B7,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Adim [yay],5.81,8.03,#E4D8BE,Niger-Kongo,Atlantic-Congo,Nigeria
Adyghe [ady],44.1,39.08,#7DB0C9,Northwest Caucasus,Ubykh-Circassian,Russia
Adyghe_Black Sea Shapsugh [ady-2],44.375,38.4,#95BED3,Northwest Caucasus,Ubykh-Circassian,Abkhazia
Adynyamathanha [adt],-31,139.5,#5496B7,Pama-Nyungan,Thura-Yura,Australia
Adzera [azr],-6.417,146.25,#CDB583,Oceanic,Western Oceanic,Papua New Guinea
Afar [aar],11.85,42,#5D9CBB,Afro-Asiatic,Cushitic,Djibouti
Afrikaans [afr],-33.9,18.5,#ECE4D3,Indo-European,Germanic,South Africa
