name,latitude,longitude,color,family,subgroup,country
Tulu [tcy],12.75,75.333,#9C79A9,Dravidian,South,India
Tuma-Irumu [iou],-6.315,146.583,#A67E68,Trans New Guinea,Finisterre-Huon,Papua New Guinea
Tumak [tmc],9.363,17.367,#7E8F9E,Afro-Asiatic,Chadic,Chad
Tumleo [tmq],-3.083,142.417,#AC8C93,Oceanic,Western Oceanic,Papua New Guinea
Tümpisa [par],37,-117,#9D7F4D,Uto-Aztecan,North,USA
Tunebo [tnd],6.75,-72.25,#A44F63,Chibchan,East,Colombia
Tunen [baz],4.8,10.5,#759E68,Niger-Kongo,Bantoid,Cameroon
Tungak [lcm],-2,152,#AC8585,Oceanic,Western Oceanic,Papua New Guinea
Tunica [tun],32.67,-91,#98606F,Tunica,,USA
Tunjung [tjg],-1.08,115.83,#978384,Malayo-Polynesian,Barito,Indonesia
Tunxi [czh-3],29.7,118.3,#41AE3F,Tibeto-Burman,Sinitic,China
Tuo [bzf-2],-3.5,143.58,#84797F,Sepik,Ndu,Papua New Guinea
Tuparí [tpr],-11.599,-61.915,#A17095,Tupi,Tupari,Brazil
Tupinamba [tpn],-22.7,-42.1,#A17394,Tupi,Tupi-Guarani,Brazil
Tura [neb],7.815,-7.171,#688F68,Mande,Eastern,Côte d'Ivoire
Turin [pms-2],45.07,7.7,#74878E,Indo-European,Romance,Italy
Turkana [tuv],3,35,#8DBB9E,Nilo-Saharan,Nilotic,Kenya
Turkish [tur],40,30,#5E53BC,Turkic,South-west,Turkey
Turkish_Crimean [crh],45,34.083,#665A8F,Turkic,North-west,Ukraine
Turkish_Cypriot [tur-2],35.5,33,#5C6AB0,Turkic,South-west,Cyprus
Turkish_eastern [tur-4],41.11,42.7,#60559C,Turkic,South-west,Turkey
Turkish_Gagauz_Balkan [gag],46.317,28.667,#5B6286,Turkic,South-west,Moldova
Turkmen [tuk],40,58,#785CBA,Turkic,South-west,Turkmenistan
Turkmen_Chagatay [tuk-2],40.052,66.087,#6846C5,Turkic,South-west,Uzbekistan
Turung [try],27.14,95.75,#6EC295,Tibeto-Burman,Jingpho,India
Tuscarora [tus],36,-77.5,#964A77,Iroquoian,Northern,USA
