name,latitude,longitude,color,family,subgroup,country
Krinkati-Timbira [xri-2],-6.037,-46.653,#DCCBA7,Macro-Je,Je,NE South America
Kristiansand [nno-8],58.15,8,#A57B29,Indo-European,Germanic,Europe
Krongo [kgo],10.5,30,#BA9A59,Kadugli-Krongo,Central-western Kadugli-Krongo,African Savannah
Kru [kro],5,-9,#AF893D,Niger-Kongo,Kru,African Savannah
Kryts_Alik [kry],41.22,48.25,#014682,Nakh-Daghestanian,Lezgic,Greater Mesopotamia
Kryts_Jek [kry-2],41.194,48.24,#014682,Nakh-Daghestanian,Lezgic,Greater Mesopotamia
Ksingmul [puo],15.4,106.15,#D5C199,Austroasiatic,Khmuic,Southeast Asia-mainland
Ku Waru [mux],-6,144.15,#C4A86E,Trans New Guinea,Chimbu-Wahgi,Interior New Guinea
Kuay_Chomphra [kdt-4],15.11,103.61,#C7AC75,Austroasiatic,Katuic,Southeast Asia-mainland
Kuay_Phonphueng [kdt-7],14.81,105.662,#BA9A59,Austroasiatic,Katuic,Southeast Asia-mainland
Kuay_Samrong [kdt-6],15.126,103.877,#B89652,Austroasiatic,Katuic,Southeast Asia-mainland
Kuay_Sangkae [kdt-5],15.09,103.875,#C7AC75,Austroasiatic,Katuic,Southeast Asia-mainland
Kube [kgf],-6.444,147.515,#E4D8BE,Trans New Guinea,Finisterre-Huon,N Coast New Guinea
Kubi [xxx-119],19.2,80.16,#EDE7DA,Dravidian,Central Dravidian,Indic
Kucong [lkc],22.26,101.25,#B5924B,Tibeto-Burman,Central Loloish,Southeast Asia-mainland
Kufa [kcp-2],11.08,29.4,#BE9F60,Kadugli-Krongo,Central-western Kadugli-Krongo,African Savannah
Kugama [kow],8.92,12.13,#DCCBA7,Niger-Kongo,Leko-Nimbari,African Savannah
Kugu Muminh [xmh],-14.044,141.639,#EAEDE9,Pama-Nyungan,Paman,N Australia
Kuhmareyi [fay],29.7,51.68,#9EC3D6,Indo-European,Indo-Iranian,Greater Mesopotamia
Kuhpayi [mzn],32.715,52.44,#CEE0E9,Indo-European,Indo-Iranian,Greater Mesopotamia
Kui [kvd],-8.39,124.67,#E9E0CD,Timor-Alor-Pantar,Alor,Southeast Asia-Island
Kui [kxu],20,83.5,#E2EBEC,Dravidian,South-Central Dravidian,Indic
Kui Ntua [kdt-2],13.85,105.04,#D2BD92,Austroasiatic,Katuic,Southeast Asia-mainland
Kuikuro [kui],-13,-54.2,#EDEAE0,Cariban,Nahukwa,NE South America
Kujargé [vkj],11.75,22.2,#C1A467,Kujarge,Kujarge,African Savannah
Kujireray [bqj],12.53,-16.42,#CDB583,Niger-Kongo,North-Central Atlantic,African Savannah
Kujuri [mzn-6],36.323,51.574,#A5C9D9,Indo-European,Indo-Iranian,Greater Mesopotamia
Kukatj [ggd],-17.95,140.8,#ECE4D3,Pama-Nyungan,Paman,N Australia
Kuke [ght],28.508,84.863,#B28E44,Tibeto-Burman,Kuke,Indic
Kuku [ukv],-3.85,31.66,#B89652,Nilo-Saharan,Barian,African Savannah
Kuku Nganhcara [wua],-14.8,141.9,#EDECE5,Pama-Nyungan,Paman,N Australia
Kuku Thaypan [typ],-15,143.4,#ECE4D3,Pama-Nyungan,Paman,N Australia
Kuku Yalanji [gvn],-16,145,#EDECE5,Pama-Nyungan,Paman,N Australia
Kukuya [kkw],-2.6,14.2,#B89652,Niger-Kongo,Zone B70,S Africa
Kukuya [mvn],-9.607,150.475,#5D9CBB,Austronesian,Papuan Tip,S New Guinea
Kula [tpg-2],-8.24,125,#E9E0CD,Timor-Alor-Pantar,Eastern Alor,Southeast Asia-Island
Kulaal [fni],10.252,19.419,#9A6B16,Niger-Kongo,Mbum-Day,African Savannah
Kulabi [tgk-2],39.02,70.38,#85B5CC,Indo-European,Indo-Iranian,Inner Asia
Kulango_Bouna [nku],8.46,-2.75,#C1A467,Niger-Kongo,Kulango-Lorom,African Savannah
Kulina [cul],-7.901,-70.644,#E6ECEC,Arawá,Arawá,NE South America
Kulisusu [vkl],-4.67,123.08,#DCCBA7,Austronesian,Celebic,Southeast Asia-Island
Kullo [gmo],6.75,37.08,#ECE4D3,Afro-Asiatic,Omotic,Greater Abyssinia
Kullu [kfx],31.96,77.11,#E2EBEC,Indo-European,Indo-Iranian,Indic
Kulsab [faj],-5.5,145.3,#EAEDE9,Trans New Guinea,Madang,N Coast New Guinea
Kulu [ikl],10.13,7.87,#AC8536,Niger-Kongo,Plateau,African Savannah
Kulung [kle],27.69,86.91,#E4D8BE,Tibeto-Burman,Central Kiranti,Indic
Kumak [nee-2],-20.4,164.19,#A5C9D9,Austronesian,Southern Oceanic,Oceania
Kumam [laj-2],1.75,33.21,#97660F,Nilo-Saharan,Luo-Burun,S Africa
Kuman [kue],-5.917,144.917,#AC8536,Trans New Guinea,Chimbu-Wahgi,Interior New Guinea
Kumauni [kfy],30,80,#E6ECEC,Indo-European,Indo-Iranian,Indic
Kumbe River Marind [mrz-2],-8.35,140.23,#D8C6A0,Anim,Marind-Yaqay,S New Guinea
Kumbewaha [xks],-5.25,123.17,#DECFAF,Austronesian,Celebic,Southeast Asia-Island
Kumyk [kum],42.6,47.8,#CEE0E9,Turkic,Common Turkic,Greater Mesopotamia
Kumzari [zum],26,56.3,#20729F,Indo-European,Indo-Iranian,Greater Mesopotamia
Kuna [kvn],8,-77.33,#EDECE5,Chibchan,Isthmic Chibchan,Andean
Kuna_Border [kvn-2],7.919,-76.87,#CEE0E9,Chibchan,Isthmic Chibchan,Andean
Kunama [kun],14.5,37,#AF893D,Nilo-Saharan,Kunama,Greater Abyssinia
Kundal Shahi [shd],34.55,73.84,#D8C6A0,Indo-European,Indo-Iranian,Indic
