name,latitude,longitude,color,family,subgroup,country
Djinang [dji],-12.5,134.833,#578937,Pama-Nyungan,Yolngu,Australia
Djingili [jig],-17.25,133.833,#49623C,Mirndi,Jingulu,Australia
Dla [kbv],-3.7,141.05,#66C978,Trans New Guinea,Border,Papua New Guinea
Dobel [kvo],-6.083,134.5,#923E6A,Malayo-Polynesian,Southeast Maluku,Indonesia-Maluku-south
Dogon [dbu],14.5,-2.5,#7DCD84,Niger-Kongo,Dogon,Mali
Dohoi [otd],-0.5,113,#B24367,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Dolgan [sah-2],70.11,94.29,#66C280,Turkic,North-east Turkic,Russia
Dolpo [dre],29,83,#8BD67B,Tibeto-Burman,Bodic,Nepal
Dom [doa],-6,144.917,#8DC172,Trans New Guinea,Chimbu-Wahgi,Papua New Guinea
Domung [dev],-5.82,146.68,#59AC76,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Dong [doc],26,109,#E67171,Tai-Kadai,Kam-Tai,China
Dongolawi [doo],18,32,#5DAF93,Nilo-Saharan,Nubian,Sudan
Dongwang [khg],28.25,99.55,#B3CC97,Tibeto-Burman,Bodic,China
Doromu_Koki [kqc],-9.629,147.914,#7FC46C,Southeast Papuan,Owen Stanley Ranges,Papua New Guinea
Doutai [tds],-3.25,138.25,#CACE7E,Lakes Plains,Tariku,Indonesia-Papua
Doyayo [dow],8.67,13.08,#D37096,Niger-Kongo,Atlantic-Congo,Cameroon
Drehu [dhv],-21,167.083,#C25567,Oceanic,Southern Oceanic,New Caledonia
Drokpa [bod-5],29.05,84.5,#85D971,Tibeto-Burman,Bodic,China
Duala [dua],4.3,9.8,#BF4E70,Niger-Kongo,Atlantic-Congo,Cameroon
Duhumbi [cvg],27.42,92.23,#97D675,Tibeto-Burman,Kho-Bwa,India
Duka [dud],11.17,5.08,#C88B7E,Niger-Kongo,Atlantic-Congo,Nigeria
Dulong [duu],28,98.333,#8AC588,Tibeto-Burman,Nungish,China
Dumaki [dmk],36.167,74,#91CA98,Indo-European,Indo-Iranian,Pakistan
Dumi [dus],27.25,86.67,#5BBC83,Tibeto-Burman,Kiranti,Nepal
Dumo [vam],-2.667,141.25,#C9A578,Skou,West Skou,Papua New Guinea
Duna [duc],-5.417,142.5,#8DD67F,Trans New Guinea,Duna-Bogaya,Papua New Guinea
Dungan [dng],42.73,76.84,#CDAE85,Tibeto-Burman,Sinitic,Kyrgystan
Dura [drq],28.5,84.25,#A1D26E,Tibeto-Burman,Dura,Nepal
Duri [mvp],-3.37,119.87,#911474,Malayo-Polynesian,Greater South Sulawesi,Indonesia-Sulawesi
Dutch [nld],52,7,#AB847B,Indo-European,Germanic,Netherlands
Duungidjawu [wkw],-26.222,152.081,#66BB45,Pama-Nyungan,Central-East,Australia
Dũya [ldb-2],9.34,8.02,#B256AA,Niger-Kongo,Atlantic-Congo,Nigeria
Dyirbal [dbl],-17.583,145.5,#58943C,Pama-Nyungan,Dyirbalic,Australia
Dyula [dyu],10.45,-4.72,#BDAB7C,Mande,Western Mande,Burkina Faso
Dzala [dzl],27,91.5,#98DB7A,Tibeto-Burman,Bodic,Bhutan
Dzongkha [dzo],27.5,89.5,#98D77F,Tibeto-Burman,Bodic,Bhutan
E [eee],25.05,109.25,#ED8172,Tai-Kadai,Kam-Tai,China
Eastern Lawa [lwl],19.01,98.76,#E6586A,Austroasiatic,Khasi-Palaung,Thailand
Eastern Ojibwe [ojg-2],44.7,-79.3,#502CA5,Algic,Algonquian,Canada
Ebira [igb-2],8.16,7.06,#CC617F,Niger-Kongo,Atlantic-Congo,Nigeria
Ebrie [igb],5.3,-4,#CF7773,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Edolo [etr],-6.083,142.667,#75D787,Trans New Guinea,Bosavi,Papua New Guinea
Efik [efi],4.92,8.5,#CD7D7E,Niger-Kongo,Atlantic-Congo,Nigeria
Ega [ega],5.5,-5.5,#CD8E86,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Ejagham [etu],5.6,9,#C27476,Niger-Kongo,Atlantic-Congo,Cameroon
Ekagi [ekg],-3.917,136.25,#66C175,Trans New Guinea,Western Trans New Guinea,Indonesia-Papua
Ekoka !Kung [knw],-19.25,17.7,#EC6B81,Kx'aa,Ju-Kung,Namibia
Elopi [dbf],-3.083,137.333,#CFB782,Lakes Plains,Tariku,Indonesia-Papua
Emae [mmw],-17.033,168.167,#BA5762,Oceanic,Central Pacific,Vanuatu
Emai [ema],7,5.9,#D46B83,Niger-Kongo,Atlantic-Congo,Nigeria
Embaloh [emb],1.1628,112.37,#9F1C70,Malayo-Polynesian,Greater South Sulawesi,Indonesia-Kalimantan
Embera_Baudo [bdc],5.2,-76.8,#71B58D,Chocoan,Emberá,Colombia
Embera_Chamí [cmi],4.88,-76.07,#63BD92,Chocoan,Emberá,Colombia
Embera_Northern [emp],7.13,-77.57,#73C485,Chocoan,Emberá,Colombia
Emerillon [eme],2.9266,-53.0419,#6155B3,Tupian,Tupi-Guarani,French Guiana
Endo [enb],1.225,35.65,#9F4781,Nilo-Saharan,Nilotic,Kenya
Eñepa [kre-2],6.95,-65.85,#457E8C,Cariban,Venezuelan,Venezuela
Engenni [enn],5.17,6.38,#E57A79,Niger-Kongo,Atlantic-Congo,Nigeria
Enggano [eno],-5.333,102.25,#882D92,Malayo-Polynesian,Batak-Barrier Islands,Indonesia-Sumatra
English [eng],52,0,#B78684,Indo-European,Germanic,Britain
Enxet Sur [enx],-23.43,-57.95,#5D2793,Mascoian,Lengua,Paraguay
Epena [sja],3,-77,#5FB99B,Chocoan,Emberá,Colombia
Ersu [ers],28.64,102.508,#A7C69E,Tibeto-Burman,Na-Qiangic,China
Erzgebirgisch [nds],50.58,13,#AE919A,Indo-European,Germanic,Germany
Erzya [myv-2],52,45.5,#70C3A5,Uralic,Mordvin,Russia
Esan [ish],6.743,6.142,#D76676,Niger-Kongo,Atlantic-Congo,Nigeria
Ese Ejja [ese],-11,-65.9,#AD9F7D,Tacanan,Ese'ejja,Bolivia
Esmeraldeño [xxx-2],1,-79.5,#58378C,Esmeraldeño,,Ecuador
Esselen [esq],36.25,-121.75,#71B38C,Esselen,,USA
Estonian [est],59,25,#91B27E,Uralic,Finnic,Estonia
Eton [eto],4,11.5,#C35683,Niger-Kongo,Atlantic-Congo,Cameroon
Eudave [opt],28.5,-110,#4FB3A1,Uto-Aztecan,Opatan,Mexico
Even [eve],68,130,#5EBF81,Tungusic,North Tungusic,Russia
Evenki [evn],57,105,#57BE8F,Tungusic,North Tungusic,Russia
Ewe [ewe],6.1,1.18,#CD8577,Niger-Kongo,Atlantic-Congo,Ghana
Ewondo [ewo],4.5,12,#CC5184,Niger-Kongo,Atlantic-Congo,Cameroon
Eyak [eya],60.5,-145,#6F6BC5,Dene-Yeniseic,Na-Dene,USA-Alaska
