name,latitude,longitude,color,family,subgroup,country
Gumuz [guk],11.29,35.38,#9A3B74,Nilo-Saharan,Gumuz,Ethiopia
ut-Ma'in [gel],11.53,4.84,#AF907D,Niger-Kongo,Atlantic-Congo,Nigeria
Wailaki [wlk],40.65,-124.31,#5C38A3,Dene-Yeniseic,Na-Dene,USA
Miwok_Lake [lmw],38.93,-122.67,#468D6E,Miwok,Western,USA
Yavapai [yuf-3],34,-113.33,#593DA4,Yuman-Cochimi,Yuman,USA
Pomo_Northern [pej-2],39.33,-123.5,#52AA92,Pomoan,Western,USA
Chumash_Ineseño [boi-2],34.61,-120.09,#882472,Chumash,NA,USA
Dii [dur],8.07,13.882,#8B67A4,Niger-Kongo,Atlantic-Congo,Cameroon
Gidra [gdr],-8.817,143.034,#557F64,Eastern Trans Fly,NA,Papua New Guinea
Kalapuya [kyl],44.5,-123,#894347,Kalapuyan,NA,USA
Miraña [boa-2],-1.32,-70.8,#506B79,Boran,Bora,Colombia
Sanapaná [spn],-20.64,-58.8,#864766,Mascoian,NA,Paraguay
Tapieté [tpj],-22.7,-64,#7151A1,Tupian,Tupi-Guarani,Argentina
Panará [kre],-11.643081,-53.308853,#84658F,Macro-Je,Je,Brazil
Saaroa [sxr],23.25,120.7,#A06B4C,Austronesian,Tsouic,Taiwan
Wanyjirra [gue-2],-19,130,#64737C,Pama-Nyungan,NA,Australia
Jamsay Dogon [djm],14.18,-2.58,#687896,Niger-Kongo,Dogon,Mali
Inuktun [kal-2],77.47,-69.25,#303D87,Eskimo-Aleut,Eskimo,Greenland (Denmark)
Esselen [esq],36.25,-121.75,#588C9D,Esselen,NA,USA
Govorka [rus-4],70.75,92,#85AA75,Indo-European,Balto-Slavic,Russia
Emai [ema],7,5.9,#C78F83,Niger-Kongo,Atlantic-Congo,Nigeria
Zhengzhou [cmn-11],34.76,113.66,#ACDE7C,Tibeto-Burman,Sinitic,China
Guaymi [gym-2],8.77,-81.73,#76BD92,Chibchan,West,Panama
Kuna [kvn],8,-77.33,#729AA1,Chibchan,East,Panama
Yanomami [guu],2,-64,#4E48AB,Yanomami,NA,Venezuela
Yucuna [ycn],-0.76,-71.103,#70578E,Arawak,North,Colombia
Puinave [pui],4,-67.33,#455477,Puinave,NA,Colombia
Quechua_Olto [qvi-3],-6.05,-77.86,#25736B,Quechuan,NA,Peru
Saweru [swr],-1.915,136.292,#A75CB4,West Papuan,Yapen,Indonesia
Komnzo [tci],-8.618,141.55,#4B6C73,South New Guinea,West Morehead River,Papua New Guinea
Nawdm [nmz],7.18,0.6,#8F5983,Niger-Kongo,Atlantic-Congo,Togo
Zialo [zil],8.43,-9.51,#A08091,Mande,Central-West,Sierra Leone
Tirmaga [suq],6.03,35.08,#88378E,Nilo-Saharan,Surmic,Ethiopia
Fwe [fwe ],-17.72,24.43,#A2287F,Niger-Kongo,Atlantic-Congo,Namibia
Kadu [kdv],24.156,94.939,#528BA4,Tibeto-Burman,Jingpho,Myanmar
Dazaga [dzg],15.74,15.85,#5877A5,Nilo-Saharan,Saharan,Chad
Ahtna [aht],62,-145,#8424C0,Dene-Yeniseic,Na-Dene,USA
Broken [tcs],-11.07,142.69,#C0B166,Indo-European,Germanic,Australia
Eskimo Pidgin [xxx-140],69.59,-139.08,#B6CBCF,Eskimo-Aleut,Eskimo,USA
Principense [pre],1.61,7.39,#C8AC89,Indo-European,Romance,São Tomé e Príncipe
Cabecar [cjp],9.91,-83.68,#3C63A7,Chibchan,West,Costa Rica
Kairi [klq],-7.141,144.14,#6C88C8,Papuan Gulf,Kikorian,Papua New Guinea
Swahili_Kisangani [swh-4],0.52,25.2,#9D3E75,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Awiakay [afp-2],-4.672,143.712,#3A6272,Arafundi,NA,Papua New Guinea
Gwama [xxx-152],9.4,34.4,#797F6C,Nilo-Saharan,Komuz,Ethiopia
Daats'íin [xxx-153],12.6,35.8,#9F4F7B,Nilo-Saharan,Gumuz,Ethiopia
Pular [fuf],12.18,-12.73,#903371,Niger-Kongo,Atlantic-Congo,Guinea
Hiri Motu [hmo],-9.33,147.08,#ABB4A7,Oceanic,Western Oceanic,Papua New Guinea
Kanasi [soq],-10.119,149.706,#695EBB,Southeast Papuan,Dagan,Papua New Guinea
Awad Bing [bcu],-5.584,146.349,#9E5CC2,Oceanic,NA,Papua New Guinea
Pouye [bye],-3.714,141.883,#5D7B94,Sepik,Ram,Papua New Guinea
Mandara [tbf-2],-2.596,151.995,#A74A7C,Oceanic,NA,Papua New Guinea
