Language_name	Family_name	subfamily_name	genus_name	status	dot_color	label_color	latitude	longitude
Herde	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	9.14343	14.9267
Herero	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#A9A9A9	#A9A9A9	-21.0231	20.5655
Hermit	Austronesian			critically endangered	#FF6500	#FF6500	-1.52891	145.075
Hertevin	Afro-Asiatic			critically endangered	#FF6500	#FF6500	37.373	42.5192
Hewa	Sepik			unknown/safe	#A9A9A9	#A9A9A9	-5.03635	142.551
Heyo	Nuclear Torricelli			unknown/safe	#A9A9A9	#A9A9A9	-3.83003	142.471
Hiberno-Scottish Gaelic	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	55.932	-5.222
Hibito	Hibito-Cholon			extinct	#FF0000	#FF0000	-6.58333	-77.7
Hidatsa	Siouan		Siouan	definitely endangered	#EDED21	#EDED21	47.7534	-102.528
Higaonon	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	8.61202	125.071
Highland Oaxaca Chontal	Tequistlatecan			severely endangered	#FFCB00	#FFCB00	16.1849	-95.7301
Highland Totonac	Totonacan			severely endangered	#FFCB00	#FFCB00	20.3798	-97.6159
Highland Konjo	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-5.26559	119.928
Highland Popoluca	Mixe-Zoque			vulnerable	#CBCB65	#CBCB65	18.198	-94.9109
Highland Puebla Nahuatl	Uto-Aztecan		Aztecan	unknown/safe	#A9A9A9	#A9A9A9	20.1554	-97.5556
Hijazi Arabic	Afro-Asiatic		Semitic	unknown/safe	#A9A9A9	#A9A9A9	22.8346	38.9237
Hijuk	Atlantic-Congo			critically endangered	#FF6500	#FF6500	4.39641	10.9081
Hiligaynon	Austronesian		Greater Central Philippine	unknown/safe	#A9A9A9	#A9A9A9	10.4018	122.974
HimarimÃ£	Unattested			unknown/safe	#A9A9A9	#A9A9A9	-6.25217	-64.70047
Hinduri	Indo-European			critically endangered	#FF6500	#FF6500	31.016	77.144
Hindi	Indo-European		Indic	unknown/safe	#A9A9A9	#A9A9A9	25	77
Hinuq	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#EDED21	#EDED21	42.4502	45.8064
Hiri Motu	Pidgin			unknown/safe	#A9A9A9	#A9A9A9	-9.33333	147.083
Hitu	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-3.57478	128.186
Hiw	Austronesian			definitely endangered	#EDED21	#EDED21	-13.1391	166.556
HixkaryÃ¡na	Cariban		Cariban	vulnerable	#CBCB65	#CBCB65	-0.16265	-58.80153
Hlai	Tai-Kadai		Hlai	unknown/safe	#A9A9A9	#A9A9A9	18.8062	109.459
Hlersu	Sino-Tibetan			vulnerable	#CBCB65	#CBCB65	24.4	101.4
Hmar	Sino-Tibetan	Tibeto-Burman	Kuki-Chin	vulnerable	#CBCB65	#CBCB65	24.7534	93.5497
Hmong Don	Hmong-Mien			unknown/safe	#A9A9A9	#A9A9A9	21.5211	104.589
Sinicized Miao	Hmong-Mien			unknown/safe	#A9A9A9	#A9A9A9	23.22649	105.08171
Hmong DÃ´	Hmong-Mien			unknown/safe	#A9A9A9	#A9A9A9	22.7962	104.182
Hmong Daw	Hmong-Mien		Hmong-Mien	unknown/safe	#A9A9A9	#A9A9A9	21.5461	103.164
Hmwaveke	Austronesian			definitely endangered	#EDED21	#EDED21	-20.9246	164.768
Amkoe	Kxa		=|Hoan	critically endangered	#FF6500	#FF6500	-23.93447	24.69828
Hoava	Austronesian	Eastern Malayo-Polynesian	Oceanic	vulnerable	#CBCB65	#CBCB65	-8.19679	157.595
HobyÃ_t	Afro-Asiatic			severely endangered	#FFCB00	#FFCB00	17.216	52.8334
Ho Chi Minh City Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	10.78646	106.68073
Ho-Chunk	Siouan			severely endangered	#FFCB00	#FFCB00	43.5	-88.5
Holiya	Dravidian			unknown/safe	#A9A9A9	#A9A9A9	21.5259	79.9164
Holikachuk	Athapaskan-Eyak-Tlingit			critically endangered	#FF6500	#FF6500	62.7266	-159.831
Holma	Afro-Asiatic			extinct	#FF0000	#FF0000	9.96843	13.19949
Holoholo	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#A9A9A9	#A9A9A9	-5.37545	28.3274
Holu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-8.14754	17.572
Homa	Atlantic-Congo			extinct	#FF0000	#FF0000	4.97912	28.0039
Honduras Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	14.622	-87.224
HÃµne	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.79715	10.9206
Honi	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	23.2074	101.886
Ho	Austroasiatic		Munda	vulnerable	#CBCB65	#CBCB65	23.9596	87.1188
Hopi	Uto-Aztecan		Hopi	vulnerable	#CBCB65	#CBCB65	35.7653	-110.535
Horom	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.05742	8.98482
Horo	Central Sudanic			extinct	#FF0000	#FF0000	9.239	18.378
Horpa	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	31.1026	101.72
Horuru	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	-3.12875	129.387
Hote	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-7.07708	146.869
Hoti of East Seram	Austronesian			extinct	#FF0000	#FF0000	-3.0083	130.168
Hobongan	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	0.9841	113.897
Hozo	Blue Nile Mao			definitely endangered	#EDED21	#EDED21	9.38875	34.60448
Hpon	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	24.4606	97.1142
Hrangkhol	Sino-Tibetan			vulnerable	#CBCB65	#CBCB65	24.4559	93.351
Hre	Austroasiatic	Mon-Khmer	Bahnaric	unknown/safe	#A9A9A9	#A9A9A9	14.6308	108.694
Hruso				definitely endangered	#EDED21	#EDED21	27.27	92.63
East Taa	Tuu			critically endangered	#FF6500	#FF6500	-24.20022	20.79583
Huachipaeri	Harakmbut			definitely endangered	#EDED21	#EDED21	-13.31951	-71.22749
Huallaga HuÃ¡nuco Quechua	Quechuan			definitely endangered	#EDED21	#EDED21	-9.57135	-75.594
Huambisa	Chicham		Jivaroan	vulnerable	#CBCB65	#CBCB65	-3.99109	-77.9797
HuamalÃ_es-Dos de Mayo HuÃ¡nuco Quechua	Quechuan		Quechuan	unknown/safe	#A9A9A9	#A9A9A9	-9.15718	-76.3372
Huarijio	Uto-Aztecan		Tarahumaran	vulnerable	#CBCB65	#CBCB65	27.8685	-108.437
Huastec	Mayan			unknown/safe	#A9A9A9	#A9A9A9	21.6153	-98.5028
Huaulu	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-2.95835	129.202
Huautla Mazatec	Otomanguean		Popolocan	vulnerable	#CBCB65	#CBCB65	18.2556	-96.724
Huaxcaleca Nahuatl	Uto-Aztecan			unknown/safe	#A9A9A9	#A9A9A9	18.8989	-96.9537
Huaylas Ancash Quechua	Quechuan			unknown/safe	#A9A9A9	#A9A9A9	-9.38709	-77.7768
Huaylla Wanca Quechua	Quechuan			severely endangered	#FFCB00	#FFCB00	-12.1809	-75.2055
Huba	Afro-Asiatic	Chadic	Biu-Mandara	unknown/safe	#A9A9A9	#A9A9A9	10.3544	13.139
Huehuetla Tepehua	Totonacan			definitely endangered	#EDED21	#EDED21	20.6189	-97.9347
Huetar	Chibchan			extinct	#FF0000	#FF0000	10.159775	-84.255066
Huichol	Uto-Aztecan		Corachol	vulnerable	#CBCB65	#CBCB65	21.954	-104.062
Huilliche	Araucanian			critically endangered	#FF6500	#FF6500	-40.0694	-72.767
Huitepec Mixtec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.9476	-97.1236
Hui Chinese	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	29.7646	118.232
Hukumina	Austronesian			extinct	#FF0000	#FF0000	-3.274	126.194
Hula	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-9.99427	147.705
HulaulÃ¡	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	31.9111	43.4865
Huli	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.97212	142.963
Hulung	Austronesian			extinct	#FF0000	#FF0000	-2.87389	128.587
Humburi Senni Songhay	Songhay			unknown/safe	#A9A9A9	#A9A9A9	15.2948	-1.69301
Humene	Kwalean			unknown/safe	#A9A9A9	#A9A9A9	-9.70693	147.562
Humla	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	30.1451	81.5659
Hunde	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#A9A9A9	#A9A9A9	-1.46762	28.9308
Hungarian Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	47.122	19.264
Hungarian	Uralic	Finno-Ugric	Ugric	severely endangered	#FFCB00	#FFCB00	46.90685857	19.65552714
Hung	Austroasiatic			definitely endangered	#EDED21	#EDED21	18.7849	104.772
Hungworo	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	10.3243	6.3024
Hungana-Saamba	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-3.69695	18.4312
Hunjara-Kaina Ke	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-8.92	147.9
Hun-Saare	Atlantic-Congo	Benue-Congo	Kainji	unknown/safe	#A9A9A9	#A9A9A9	10.7898	5.07312
Hunzib	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#EDED21	#EDED21	42.0808	46.1369
Hupa	Athapaskan-Eyak-Tlingit		Athapaskan	critically endangered	#FF6500	#FF6500	41.0982	-123.68
HupdÃ«	Nadahup		Nadahup	vulnerable	#CBCB65	#CBCB65	0.58622	-69.8359
Hupla	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-4.36349	139.164
Hurrian	Hurro-Urartian			extinct	#FF0000	#FF0000	40.7339	43.3154
Hutterite German	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	40	-97
Hu	Austroasiatic			definitely endangered	#EDED21	#EDED21	22.0163	100.881
Hwana	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	10.3633	12.7683
Hya	Afro-Asiatic			severely endangered	#FFCB00	#FFCB00	10.4814	13.526
Hyam	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.57832	7.95163
Iaai	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#A9A9A9	#A9A9A9	-20.6301	166.59
Iamalele	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-9.45005	150.573
Iapama	Bookkeeping			extinct	#FF0000	#FF0000	0.97588	-53.3269
Iatmul	Ndu		Middle Sepik	unknown/safe	#A9A9A9	#A9A9A9	-4.30064	143.316
Iau	Lakes Plain		Lakes Plain	unknown/safe	#A9A9A9	#A9A9A9	-3.14537	137.69
Ibali Teke	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-4.20697	15.3893
Ibaloi	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	16.4263	120.695
Ibani	Ijoid			unknown/safe	#A9A9A9	#A9A9A9	4.49119	7.23558
Iban	Austronesian		Malayo-Sumbawan	unknown/safe	#A9A9A9	#A9A9A9	2.09041	112.934
Ibanag	Austronesian		Northern Luzon	unknown/safe	#A9A9A9	#A9A9A9	17.4201	121.891
Ibatan	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	18.9398	121.909
Iberian				extinct	#FF0000	#FF0000	40.624	0.212401
Ibibio	Atlantic-Congo	Benue-Congo	Cross River	unknown/safe	#A9A9A9	#A9A9A9	5.15279	7.86688
Ibilo	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	7.42662	6.08384
Ibino	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.59603	8.15254
Ibuoro	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.49672	7.93108
Ibu	North Halmahera			critically endangered	#FF6500	#FF6500	1.50556	127.542
Icelandic Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	64.1731	-20.2731
Icelandic	Indo-European		Germanic	unknown/safe	#A9A9A9	#A9A9A9	63.4837	-19.0212
Icelandic-Basque Pidgin	Pidgin			extinct	#FF0000	#FF0000	65.78	-22.3
Iceve-Maci	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.42426	9.50264
Ida'an	Austronesian		North Borneo	unknown/safe	#A9A9A9	#A9A9A9	5.29059	118.515
Idakho-Isukha-Tiriki	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	0.21557	34.817
IdatÃ©	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-8.76258	125.832
Idere	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.21188	8.0831
Idesa	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	7.34629	6.2929
Idi-Taeme	Pahoturi			unknown/safe	#A9A9A9	#A9A9A9	-8.75976	142.301
Idoma	Atlantic-Congo	Benue-Congo	Idomoid	unknown/safe	#A9A9A9	#A9A9A9	7.19139	7.71261
Idon	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	10.2175	7.78151
Idu	Sino-Tibetan	Tibeto-Burman	Digaroan	definitely endangered	#EDED21	#EDED21	29.4473	95.6472
Idun	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.12585	7.77525
Iduna	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#A9A9A9	#A9A9A9	-9.34361	150.24
IfÃ¨	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.63568	1.58494
Ifo	Austronesian			extinct	#FF0000	#FF0000	-18.7668	169.007
Igala	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.34325	7.17974
Igana	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.70942	144.841
Igede	Atlantic-Congo	Benue-Congo	Idomoid	unknown/safe	#A9A9A9	#A9A9A9	6.95522	8.27362
Ignaciano	Arawakan		Bolivia-Parana	definitely endangered	#EDED21	#EDED21	-15.1188	-65.3993
Igo	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.25499	0.67846
Iguta	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.98505	8.81708
Igwe	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.10878	6.08157
Iha	West Bomberai		West Bomberai	unknown/safe	#A9A9A9	#A9A9A9	-2.81013	132.271
Iha Based Pidgin	Pidgin			extinct	#FF0000	#FF0000	-2.935	132.294
Ihievbe	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	7.00917	6.08581
Ija-Zuba	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	8.97183	6.9861
Ika	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.36423	6.31058
Ikizu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-1.9915	34.3589
Ik	Kuliak		Kuliak	severely endangered	#FFCB00	#FFCB00	3.61407	34.2507
Ikobi	Turama-Kikori			unknown/safe	#A9A9A9	#A9A9A9	-7.30342	143.618
Ikoma-Nata-Isenye	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-1.94989	34.5361
Iko	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.56197	7.9866
Ikpeshi	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.04475	6.17647
Ikpeng	Cariban			vulnerable	#CBCB65	#CBCB65	-11.37822	-53.49553
Ikposo	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	7.44776	0.83312
Iku-Gora-Ankwa	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	10.27852	7.84105
Ikulu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	10.1339	7.86684
Ikwere	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.04333	6.86651
Ila	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#A9A9A9	#A9A9A9	-15.60807	26.45548
Ile Ape	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-8.38636	123.442
Ilianen Manobo	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	7.34448	124.766
Ili Turki	Turkic			severely endangered	#FFCB00	#FFCB00	44.0089	80.4957
Ili'uun	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-7.84385	125.902
Iloko	Austronesian		Northern Luzon	unknown/safe	#A9A9A9	#A9A9A9	15.9361	120.993
Ilongot	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	16.3785	121.547
Ilue	Atlantic-Congo			critically endangered	#FF6500	#FF6500	4.78618	8.25236
Ilwana	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-0.66322	39.793
Imbabura Highland Quichua	Quechuan		Quechuan	severely endangered	#FFCB00	#FFCB00	0.31776	-78.3729
Imbongu	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-6.13629	144.026
Imeraguen	Bookkeeping			definitely endangered	#EDED21	#EDED21	19.3733	-16.3473
Imonda	Border		Border	unknown/safe	#A9A9A9	#A9A9A9	-3.31228	141.171
Imroing	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-7.96772	129.651
Inabaknon	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	12.4264	124.166
Itutang-Inapang	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.67614	144.9
IÃ±apari	Arawakan			critically endangered	#FF6500	#FF6500	-12.4653	-69.3083
Inari Sami	Uralic			severely endangered	#FFCB00	#FFCB00	69.4229	27.8658
Indian Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	27.5186	79.6787
Jakartan Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	-7.908	112.378
Indonesian	Austronesian		Malayo-Sumbawan	unknown/safe	#A9A9A9	#A9A9A9	-7.33458	109.716
Indonesian Bajau	Austronesian		Sama-Bajaw	unknown/safe	#A9A9A9	#A9A9A9	-3.68664	122.253
Indri	Atlantic-Congo			severely endangered	#FFCB00	#FFCB00	8.81513	25.9848
Indus Kohistani	Indo-European			vulnerable	#CBCB65	#CBCB65	35.3389	73.0154
Inebu One	Nuclear Torricelli			unknown/safe	#A9A9A9	#A9A9A9	-3.38015	141.892
IneseÃ±o	Chumashan		Chumash	extinct	#FF0000	#FF0000	34.6169	-120.08
Inga	Quechuan		Quechuan	severely endangered	#FFCB00	#FFCB00	1.00313	-76.8606
Ingain	Nuclear-Macro-Je			extinct	#FF0000	#FF0000	-24.621052	-54.254151
Ingrian	Uralic	Finno-Ugric	Finnic	severely endangered	#FFCB00	#FFCB00	59.47403	29.71145
Ingush	Nakh-Daghestanian		Nakh	vulnerable	#CBCB65	#CBCB65	42.9525	44.158
Inlaod Itneg	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	17.61752	120.65389
Inoke-Yate	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-6.32311	145.539
Inonhan	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	12.284	122.03
Inor	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	7.94883	37.7968
Inpui Naga	Bookkeeping			vulnerable	#CBCB65	#CBCB65	24.8761	93.8096
Interlingua (International Auxiliary Language Association)	Artificial Language			unknown/safe	#A9A9A9	#A9A9A9	48.203	2.615
Intha-Danu	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	20.392	96.9388
Iowa-Oto	Siouan		Siouan	extinct	#FF0000	#FF0000	40.0511	-95.5213
Ipai	Cochimi-Yuman			unknown/safe	#A9A9A9	#A9A9A9	33.005	-116.993
Ipalapa Amuzgo	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.5053	-98.0129
Ipiko	Anim			unknown/safe	#A9A9A9	#A9A9A9	-7.37424	144.863
Ipili	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.42586	143.089
Ipulo-Olulu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.2918	9.64676
Iquito	Zaparoan		Zaparoan	critically endangered	#FF6500	#FF6500	-3.31233	-73.97046
Iranun	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	4.3362	118.224
IrÃ¡ntxe-MÃ_nkÃ_				critically endangered	#FF6500	#FF6500	-12.7178	-57.9806
Iraqw	Afro-Asiatic	Cushitic	Southern Cushitic	unknown/safe	#A9A9A9	#A9A9A9	-4.19948	35.2939
Irarutu	Austronesian	Eastern Malayo-Polynesian	South Halmahera - West New Guinea	unknown/safe	#A9A9A9	#A9A9A9	-2.94438	133.586
Iraya	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	13.381	120.65
Yerisiam	Austronesian			severely endangered	#FFCB00	#FFCB00	-3.62803	135.025
Irigwe	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.85197	8.6525
Iriga Bicolano	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	13.3896	123.331
Irish Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	53.315	-6.36541
Irish	Indo-European		Celtic	definitely endangered	#EDED21	#EDED21	53.2186	-7.61509
Ir	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	15.7188	106.564
Irula	Dravidian			vulnerable	#CBCB65	#CBCB65	12.70645	79.95209
Isabi	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.83809	145.462
Isanzu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-3.99991	34.846
Isarog Agta	Austronesian			critically endangered	#FF6500	#FF6500	13.651	123.332
Isconahua	Pano-Tacanan			unknown/safe	#A9A9A9	#A9A9A9	-7.75236	-74.5193
Isebe	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.20719	145.691
Isekiri	Atlantic-Congo	Benue-Congo	Defoid	unknown/safe	#A9A9A9	#A9A9A9	5.81898	5.5862
Ishkashimi	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	36.67	71.55
Isinai	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	16.3299	121.12
Isirawa	Greater Kwerba		Kwerba	vulnerable	#CBCB65	#CBCB65	-1.88775	138.595
Island Carib	Arawakan			extinct	#FF0000	#FF0000	15.364795	-61.342957
Isnag	Austronesian		Northern Luzon	unknown/safe	#A9A9A9	#A9A9A9	18.2139	121.16
Isoko	Atlantic-Congo	Benue-Congo	Edoid	unknown/safe	#A9A9A9	#A9A9A9	5.52889	6.24682
Israeli Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	31.5279	34.7637
Isthmus Mixe	Mixe-Zoque			unknown/safe	#A9A9A9	#A9A9A9	16.9481	-95.0681
Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan			vulnerable	#CBCB65	#CBCB65	17.9401	-94.7347
Isthmus-Pajapan Nahuatl	Uto-Aztecan		Aztecan	unknown/safe	#A9A9A9	#A9A9A9	18.2513	-94.6647
Isthmus-Mecayapan Nahuatl	Uto-Aztecan		Aztecan	unknown/safe	#A9A9A9	#A9A9A9	18.2	-94.7547
Isthmus Zapotec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.4548	-94.8444
Istriot	Indo-European			severely endangered	#FFCB00	#FFCB00	45.088	13.64
Istro Romanian	Indo-European			severely endangered	#FFCB00	#FFCB00	45.433	14.2
Isu (Fako Division)	Atlantic-Congo			severely endangered	#FFCB00	#FFCB00	3.96758	9.36535
Isu (Menchum Division)	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.63731	9.96577
Italian Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	42.72915	12.42949
Italian	Indo-European		Romance	unknown/safe	#A9A9A9	#A9A9A9	43.0464	12.6489
Itawit	Austronesian		Northern Luzon	unknown/safe	#A9A9A9	#A9A9A9	17.7329	121.58
Itelmen	Chukotko-Kamchatkan		Southern Chukotko-Kamchatkan	critically endangered	#FF6500	#FF6500	56.7798	156.906
Itene	Chapacuran			critically endangered	#FF6500	#FF6500	-12.2994	-64.9841
Iteri	Left May			severely endangered	#FFCB00	#FFCB00	-4.11998	141.585
Itik	Tor-Orya			vulnerable	#CBCB65	#CBCB65	-2.18342	139.341
Itonama				critically endangered	#FF6500	#FF6500	-12.80431	-64.35748
Ito	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.14438	8.04626
Itu Mbon Uzo	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.52679	7.80378
Itundujia Mixtec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.77876	-97.59753
ItzÃ¡	Mayan		Mayan	critically endangered	#FF6500	#FF6500	17.0269	-89.8734
Iu Mien	Hmong-Mien		Hmong-Mien	unknown/safe	#A9A9A9	#A9A9A9	20.83	101.17
Itbayat	Austronesian		Batanic	unknown/safe	#A9A9A9	#A9A9A9	20.3848	121.975
Ivbie North-Okpela-Arhe	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.15307	6.21209
Iwaidja	Iwaidjan Proper		Iwaidjan	vulnerable	#CBCB65	#CBCB65	-11.3379	132.453
I-Wak	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	16.30448	120.78633
Iwal	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-7.20938	146.983
Iwam	Sepik		Upper Sepik	unknown/safe	#A9A9A9	#A9A9A9	-4.27346	141.817
Morop-Dintere	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.11036	140.823
Ixcatec	Otomanguean		Popolocan	critically endangered	#FF6500	#FF6500	17.7597	-97.1242
IxcatlÃ¡n Mazatec	Otomanguean			vulnerable	#CBCB65	#CBCB65	18.1531	-96.5719
Ixil	Mayan			unknown/safe	#A9A9A9	#A9A9A9	15.4569	-90.8935
Ixtayutla Mixtec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.5774	-97.5759
Ixtenco Otomi	Otomanguean		Otomian	severely endangered	#FFCB00	#FFCB00	19.2146	-98.0272
Iyayu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.30076	5.84326
Iyive	Atlantic-Congo			severely endangered	#FFCB00	#FFCB00	6.50437	9.53302
Iyojwa'ja Chorote	Matacoan			severely endangered	#FFCB00	#FFCB00	-22.1896	-63.2383
Iyo	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.84161	146.092
Iyo'wujwa Chorote	Matacoan			definitely endangered	#EDED21	#EDED21	-22.2067	-62.6508
Izere	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.5	8.7
Izi-Ezaa-Ikwo-Mgbo	Atlantic-Congo	Benue-Congo	Igboid	unknown/safe	#A9A9A9	#A9A9A9	6.31831	8.03044
Izon	Ijoid		Ijoid	unknown/safe	#A9A9A9	#A9A9A9	5.17986	5.51702
Izora	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	10.4735	8.76468
Jabal Razih	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	16.9092	43.2416905
Jad	Sino-Tibetan			definitely endangered	#EDED21	#EDED21	30.241	79.153
Jadgali	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	26.9682	63.535
Jahanka	Mande			unknown/safe	#A9A9A9	#A9A9A9	11.5399	-12.7262
Jah Hut	Austroasiatic			severely endangered	#FFCB00	#FFCB00	3.67619	102.291
