Language_name	Family_name	subfamily_name	genus_name	status	dot_color	label_color	latitude	longitude
Agatu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.97915	7.71639
Agavotaguerra	Unattested			extinct	#FF0000	#FF0000	-13.29849	-53.43936
Aghem	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#A9A9A9	#A9A9A9	6.38956	10.0807
Aghul	Nakh-Daghestanian	Daghestanian	Lezgic	definitely endangered	#EDED21	#EDED21	41.9242	47.5843
Aghu Tharnggalu	Pama-Nyungan			extinct	#FF0000	#FF0000	-13.735	142.426
Aghu	Nuclear Trans New Guinea		Awju-Dumut	unknown/safe	#A9A9A9	#A9A9A9	-6.34674	140.043
Aghwan	Nakh-Daghestanian			extinct	#FF0000	#FF0000	40.374444	47.126667
Agi	Nuclear Torricelli			unknown/safe	#A9A9A9	#A9A9A9	-3.49104	142.387
Agob-Ende-Kawam	Pahoturi			unknown/safe	#A9A9A9	#A9A9A9	-9.08521	142.532
Agoi	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.87953	8.21629
Aguano	Unattested			extinct	#FF0000	#FF0000	-5.25	-75.8333
Aguacateco	Mayan		Mayan	unknown/safe	#A9A9A9	#A9A9A9	15.3307	-91.3153
Aguaruna	Chicham		Jivaroan	vulnerable	#CBCB65	#CBCB65	-5.30044	-77.9218
Aguna	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.49256	1.74452
Agusan Manobo	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	8.62731	125.742
Agutaynen	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	10.5328	119.655
Agwagwune	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.81055	8.03166
Ahanta	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.85147	-1.94657
Ã€hÃ n	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.44139	6.00896
Thavung	Austroasiatic			definitely endangered	#EDED21	#EDED21	17.7655	104.229
Ahin-Kayapa Kalanguya	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	16.321	120.90003
Ahirani	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	21.552	73.685
Ahom	Tai-Kadai			extinct	#FF0000	#FF0000	27.2778	88.464
Ahtena	Athapaskan-Eyak-Tlingit		Athapaskan	critically endangered	#FF6500	#FF6500	61.7068	-144.889
Ndunic	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.17635	8.56205
Ai-Cham	Tai-Kadai			unknown/safe	#A9A9A9	#A9A9A9	25.4908	107.844
Aighon	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-5.99488	150.272
AikanÃ£				definitely endangered	#EDED21	#EDED21	-12.6695	-60.5353
Aiklep	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-6.23575	149.571
Aimaq	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	35.283	59.1756
Aimele	Bosavi			unknown/safe	#A9A9A9	#A9A9A9	-6.68656	142.656
Aimol	Sino-Tibetan			critically endangered	#FF6500	#FF6500	24.6437	94.3556
Ainbai	Border			severely endangered	#FFCB00	#FFCB00	-3.09214	141.149
Hokkaido Ainu	Ainu		Ainu	critically endangered	#FF6500	#FF6500	43.633654	142.46167
Ainu (China)	Turkic		Turkic	unknown/safe	#A9A9A9	#A9A9A9	39.2714	76.4209
Aiome	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-5.13467	144.765
Airoran	Greater Kwerba			unknown/safe	#A9A9A9	#A9A9A9	-1.8522	138.158
Aiton	Tai-Kadai			severely endangered	#FFCB00	#FFCB00	26.5145	92.3169
Aja (Benin)	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	7.06634	1.64992
Aja (Sudan)	Kresh-Aja			critically endangered	#FF6500	#FF6500	8.58003	25.6122
Ajawa	Afro-Asiatic			extinct	#FF0000	#FF0000	10.21	9.89205
AjiÃ«	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#A9A9A9	#A9A9A9	-21.3029	165.468
AjyÃ_ninka Apurucayali	Arawakan			vulnerable	#CBCB65	#CBCB65	-9.82364	-74.61947
Aka	Eastern Jebel			critically endangered	#FF6500	#FF6500	11.2101	33.6524
Aka-Bo	Great Andamanese			extinct	#FF0000	#FF0000	12.3629	92.8011
Aka-Bea	Great Andamanese		Great Andamanese	extinct	#FF0000	#FF0000	12.3782	92.7818
Aka-Cari	Great Andamanese		Great Andamanese	extinct	#FF0000	#FF0000	13.49086	92.94855
Aka-Jeru	Great Andamanese			extinct	#FF0000	#FF0000	13.1525	92.9504
Aka-Kora	Great Andamanese			extinct	#FF0000	#FF0000	12.0944	92.7466
Aka-Kede	Great Andamanese		Great Andamanese	extinct	#FF0000	#FF0000	12.8494	92.8227
Aka-Kol	Great Andamanese			extinct	#FF0000	#FF0000	12.73253	92.78661
Akan	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	6.34756	-1.33254
Akar-Bale	Great Andamanese			extinct	#FF0000	#FF0000	12.6663	92.8278
Akaselem	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	8.8858	1.37035
Akawaio	Cariban		Cariban	vulnerable	#CBCB65	#CBCB65	6.16277	-60.862
Akebu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.78365	0.77668
Ake	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	8.59543	8.75768
Akei	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-15.6377	166.767
Akha	Sino-Tibetan	Tibeto-Burman	Burmese-Lolo	unknown/safe	#A9A9A9	#A9A9A9	21.2309	100.964
Akhvakh	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#EDED21	#EDED21	42.4003	46.3037
Akkala Sami	Uralic			extinct	#FF0000	#FF0000	67.8625	32.4046
Ak	Sepik			severely endangered	#FFCB00	#FFCB00	-3.57026	141.784
Aklanon	Austronesian		Greater Central Philippine	unknown/safe	#A9A9A9	#A9A9A9	11.5543	122.354
Akolet	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-6.22711	150.182
Akoose	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.9243	9.65522
Akoye	Angan			unknown/safe	#A9A9A9	#A9A9A9	-7.66067	145.669
Akpa	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.32586	8.01629
Akpes	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.50256	5.95559
Akpondu	Atlantic-Congo			extinct	#FF0000	#FF0000	9.235232	8.545454
Chini	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.88687	144.821
Akuku	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.40354	6.34264
Akum	Atlantic-Congo			critically endangered	#FF6500	#FF6500	6.85716	9.96261
