name,latitude,longitude,color,family,subgroup,country
Doumen_2 [yue-25],22.21,113.29,#DEE9EC,Tibeto-Burman ,Sinitic,China
Doutai [tds],-3.25,138.25,#034F88,Lakes Plains ,Tariku,Indonesia-Papua
Doyayo [dow],8.67,13.08,#E6ECEC,Niger-Kongo ,Atlantic-Congo,Cameroon
Drag-yab [qxs-5],31.44,97.95,#905B06,Tibeto-Burman ,Na-Qiangic,China
Drehu [dhv],-21,167.083,#E1D3B6,Oceanic,Southern Oceanic,New Caledonia
Drenthe [nld-16],52.92,6.58,#DEE9EC,Indo-European ,Germanic,Netherlands
Drokpa [bod-5],29.05,84.5,#E1D3B6,Tibeto-Burman ,Bodic,China
Dschang [ybb],5.45,10.067,#ECE5D5,Niger-Kongo ,Atlantic-Congo,Cameroon
Duala [dua],4.3,9.8,#A0C5D8,Niger-Kongo ,Atlantic-Congo,Cameroon
Duau [dva],-10,151.17,#EDE9DF,Oceanic,Western Oceanic,Papua New Guinea
Duchang [gan-17],29.27,116.2,#EDE9DF,Tibeto-Burman ,Sinitic,China
Duhumbi [cvg],27.42,92.23,#C8AE79,Tibeto-Burman ,Kho-Bwa,India
Duka [dud],11.17,5.08,#D1E2EA,Niger-Kongo ,Atlantic-Congo,Nigeria
Dulong [duu],28,98.333,#E8DECA,Tibeto-Burman ,Nungish,China
Dumagat_Casiguran [dgc],16.653,122.303,#A0C5D8,Malayo-Polynesian,Philippines,Philippines
Dumaki [dmk],36.167,74,#C8AE79,Indo-European ,Indo-Iranian,Pakistan
Dumbea [duf],-22.094,166.372,#ECE5D5,Oceanic,Southern Oceanic,New Caledonia
Dumi [dus],27.25,86.67,#DDCDAC,Tibeto-Burman ,Kiranti,Nepal
Dumo [vam],-2.667,141.25,#3782A9,Skou ,West Skou,Papua New Guinea
Dumun_Saep [dui],-5.53,146.083,#8EBAD0,Trans New Guinea ,Madang,Papua New Guinea
Duna [duc],-5.417,142.5,#E6ECEC,Trans New Guinea ,Duna-Bogaya,Papua New Guinea
Dungan [dng],42.73,76.84,#D6C29A,Tibeto-Burman ,Sinitic,Kyrgystan
Duoxu [ers-4],28.6,102.08,#BFA063,Tibeto-Burman ,Na-Qiangic,China
Dura [drq],28.5,84.25,#BFA063,Tibeto-Burman ,Dura,Nepal
Duri [mvp],-3.37,119.87,#D1E2EA,Malayo-Polynesian,Greater South Sulawesi,Indonesia-Sulawesi
Duriankere [dbn],-1.39,130.93,#4E91B4,Trans New Guinea ,South Birds Head,Indonesia-Papua
Duru [duz],9.11,13.42,#CCB380,Niger-Kongo ,Atlantic-Congo,Cameroon
Duruma [dug],-4.1,39.32,#B99955,Niger-Kongo ,Atlantic-Congo,Kenya
Duruwa [pci-2],19.07,82.03,#DEE9EC,Dravidian ,Central Dravidian ,India
Dushan [kmc],25.82,107.55,#D9C7A2,Tai-Kadai ,Kam-Tai,China
Dusner [dsn],-2.74,134.39,#4E91B4,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Dusun [kzt-2],4.666,115.26,#E5D9BF,Malayo-Polynesian,North Borneo,Brunei
Dusun_Deyah [dun],-2,115.5,#DEE9EC,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Dusun_Deyah-2 [dun-2],-1.96,115.58,#4E91B4,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Dusun_Malang [duq],-0.732,115.108,#D1E2EA,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Dusun_Tambunan [kzt],5.686,116.376,#B2D0DE,Malayo-Polynesian,North Borneo,Malaysia-Borneo
Dusun_Witu [duw],-1.576,114.857,#D1E2EA,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Dusur [vam-3],-2.75,141.33,#8EBAD0,Skou ,West Skou,Papua New Guinea
Dutch [nld],52,7,#B2D0DE,Indo-European ,Germanic,Netherlands
Duungidjawu [wkw],-26.222,152.081,#64A1BE,Pama-Nyungan ,Central-East,Australia
