name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#C774DF,Tuu ,Hua,Botswana
||Ana [gnk-2],-22.2,22.4,#B57AA8,Khoe ,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#B57DBC,Khoe ,Khoe,Botswana
||Gana [gnk],-19,22.5,#AE7FA2,Khoe ,Khoe,Botswana
||Xekwi [xeg],-23,22,#DF5FBA,Tuu ,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#BF91C5,Khoe ,Khoe,Botswana
|Xam [xam],-30.34,21.82,#AF81C7,Tuu ,!Kwi,South Africa
A'iwa [ash],-2,-74.5,#53656E,A'iwa ,,Peru
A'jië [aji],-21.342,165.459,#9472AD,Oceanic,Southern Oceanic,New Caledonia
Aari [aiw],6,36.6,#C08174,Afro-Asiatic ,Omotic,Ethiopia
Abanyom [abm],6.499,8.647,#94AA95,Niger-Kongo ,Atlantic-Congo,Nigeria
Abar [mij-3],6.59,10.26,#9EA375,Niger-Kongo ,Atlantic-Congo,Cameroon
Abau [aau],-4,141.167,#519760,Sepik ,Abau,Papua New Guinea
Abawiri [flh-2],-3.05,139.21,#70BD95,Lakes Plains ,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#AD0F6D,North-west Caucasus ,Abaza-Abkhaz,Russia
Abduyi [pes-4],29.7,52.07,#8E6B64,Indo-European ,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#587E76,Ndu ,Nuclear Ndu,Papua New Guinea
Abellen [abp],15.41,120.2,#3F797E,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#417A6D,Algic ,Algonquian,USA
Aberdeenshire_English [sco-3],57.3,-2,#AC795A,Indo-European ,Germanic,Britain-Scotland
Abidji [abi],5.66,-4.58,#848D7C,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Abinomn [bsa],-3,138.8,#5D836B,Abinomn ,,Indonesia-Papua
Abipon [axb],-26,-61,#416B7E,Guaicuruan ,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#9C1D5B,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-13],43.32,40.41,#A21656,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-12],43.33,40.22,#9C1856,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abron [abr],8.03,-2.8,#99A394,Niger-Kongo ,Atlantic-Congo,Ghana
Abruzzo [nap-3],42.66,13.7,#B38A52,Indo-European ,Romance,Italy
Abua [abn],4.8,6.654167,#BF917D,Niger-Kongo ,Atlantic-Congo,Nigeria
Abui [abz],-8.417,124.6,#6C827C,Timor-Alor-Pantar ,Alor-Pantar,Indonesia-NTT
Abujh_Maria [mrr-2],18.75,80.68,#846F79,Dravidian ,South-central,India
Abun [kgr],-0.833,132,#7C9D68,West Papuan ,Birds Head,Indonesia-Papua
Abure [abu],5.22,-3.64,#88937D,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
