name,latitude,longitude,color,family,subgroup,country
Shekbik [yue-32],22.25,113.895,#4FA5B2,Tibeto-Burman,Sinitic,Hong Kong
Shekhawati [swv],28.3,74.95,#828DC8,Indo-European,Indo-Iranian,India
Sheko [she],7,35.5,#1C848C,Afro-Asiatic,Omotic,Ethiopia
Shenwa [cnu],36.6,2.4,#4A565F,Afro-Asiatic,Berber,Algeria
Shenyang [cmn-26],41.8,123.4,#479DC4,Tibeto-Burman,Sinitic,China
Sherbro [bun],7.554,-12.639,#5C86C8,Niger-Kongo,Atlantic-Congo,Sierra Leone
Sherdukpen [sdp],27.2,92.4,#588DAE,Tibeto-Burman,Kho-Bwa,India
Sherpa [xsr],27.833,86.833,#6475C5,Tibeto-Burman,Bodic,Nepal
Sherpa_Hile [xsr-2],27.675,86.71,#6689D3,Tibeto-Burman,Bodic,Nepal
Shicheng [hak-21],26.3,116.35,#4799BA,Tibeto-Burman,Sinitic,China
Shigatse [bod-6],29.26,88.88,#618AC6,Tibeto-Burman,Bodic,China
Shijiazhuang [cmn-12],38.04,114.5,#3694C0,Tibeto-Burman,Sinitic,China
Shilha [shi-2],29.18,-9.711,#675A5F,Afro-Asiatic,Berber,Morocco
Shilluk [shk],6.19,31.6,#5F95D5,Nilo-Saharan,Eastern Sudanic,South Sudan
Shimaore [swb],-12.78,45.22,#49739A,Niger-Kongo,Atlantic-Congo,Comoros
Shina [scl],36,74,#5280B6,Indo-European,Indo-Iranian,Pakistan
Shina_Gurezi [scl-3],34.63,74.83,#4A6EAC,Indo-European,Indo-Iranian,Pakistan
Shinekhen Buryat [bxu],48.76,117.79,#617F67,Mongolic,Core Mongolic,China
Shingazidja [zdj],-12.17,44.4,#3B79A7,Niger-Kongo,Atlantic-Congo,Comoros
Shinman [plw-2],22.7,96.7,#3F89E3,Austroasiatic,Khasi-Palaung,Myanmar
Shipibo [shp],-7,-75,#74904E,Panoan,Southern Panoan,Peru
Shiqi [hak-32],22.5,113.4,#4AA7AF,Tibeto-Burman,Sinitic,China
Shira Yugur [yuy],37.225,99.45,#476F7E,Mongolic,Core Mongolic,China
Shiraho [mvi-7],24.4,124.25,#3E9C81,Japonic,Ryukyuan,Japan-Ryukyu
Shiriana [xir],3.5,-62.83,#80814F,Arawak,Northern Maipuran,Brazil
Shirumba [shw],11.3,30.3,#869BAB,Talodi-Heiban,Heiban,Sudan
Shiwa [xxx-43],-0.09,11.95,#4F7A8C,Niger-Kongo,Atlantic-Congo,Cameroon
Shixing [hak-10],24.82,113.6,#4B96BC,Tibeto-Burman,Sinitic,China
Shixing [sxg],28.3,100.64,#2176D1,Tibeto-Burman,Na-Qiangic,China
Shixing_Aizi [hak-38],24.63,113.99,#4D9BBD,Tibeto-Burman,Sinitic,China
Shixing_Lower Xumi [sxg-3],28.23,100.63,#3C6AD2,Tibeto-Burman,Na-Qiangic,China
Shixing_Luoba [hak-43],24.86,114.21,#5299BD,Tibeto-Burman,Sinitic,China
Shixing_Mashi [hak-42],25.03,114.14,#5299BD,Tibeto-Burman,Sinitic,China
Shixing_Taiping [hak-41],23.43,113.48,#5097BD,Tibeto-Burman,Sinitic,China
Shixing_Upper Xumi [sxg-2],28.337,100.651,#496DCF,Tibeto-Burman,Na-Qiangic,China
Shö [csh-2],21.2,94.02,#3185B4,Tibeto-Burman,Kuki-Chin-Naga,Myanmar
Sho [csh],20,95,#4485BD,Tibeto-Burman,Kuki-Chin-Naga,Myanmar
Shodon [tkn-2],28.1,129.32,#55B370,Japonic,Ryukyuan,Japan-Ryukyu
Shom_Peng [sii],7,93.75,#4F91AD,Austroasiatic,Nicobar,India_Andaman-Nicobars
Shona [sna],-18,31,#3178B9,Niger-Kongo,Atlantic-Congo,Zimbabwe
Shona_Ndau [sna-2],-15.5,32.5,#316CB6,Niger-Kongo,Atlantic-Congo,Mozambique
Shor [cjs],53,88,#7A9383,Turkic,Common Turkic,Russia
Shoshone [shh],41,-115.5,#7D8B42,Uto-Aztecan,Numic,USA
Shtokavian_Uzice [srp-5],43.85,19.85,#6277A8,Indo-European,Balto-Slavic,Serbia
Shtokavian_Zeta [srp-2],43.15,20.52,#44789C,Indo-European,Balto-Slavic,Serbia
Shua [shg-2],-20.3,26,#348CA3,Khoe,Khoe,Botswana
Shuangfeng [hsn-5],26.5,111,#4092CB,Tibeto-Burman,Sinitic,China
Shuar [jiv-2],-2.55,-77.63,#8A8848,Jivaroan,Shuaric,Ecuador
Shughni [sgh],37.5,71.79,#436867,Indo-European,Indo-Iranian,Tajikistan
Shuichengdou [hmq-4],26.47,105.13,#3F84E6,Hmong-Mien,Hmongic,China
Shuiming [yue-14],22.26,109.833,#34A0D3,Tibeto-Burman,Sinitic,China
Shuiyuan [hak-31],23.15,114.25,#3D9EC5,Tibeto-Burman,Sinitic,China
Shumashti [sts],34.72,70.76,#A664AC,Indo-European,Indo-Iranian,Afghanistan
Shuri [ryu-2],26.22,127.72,#3D7889,Japonic,Ryukyuan,Japan-Ryukyu
Shuswap [shs],52,-120,#442875,Salish,Interior Salish,Canada
Shwai [shw-2],11.27,30.35,#6B91BF,Talodi-Heiban,Heiban,Sudan
Shwe [pll-2],23.67,97.8,#6A9BBB,Austroasiatic,Khasi-Palaung,Myanmar
Siam [prk],22.585,102.5,#4E97B1,Austroasiatic,Khasi-Palaung,Myanmar
Siamou [sif-2],11,-4.92,#46A7AD,Siamou,,Burkina Faso
Siane [snp],-6.05,145.25,#67B665,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Siang [sya],-0.5,114.5,#AC9671,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Siar [sjr],-5,153.333,#A5955F,Oceanic,Western Oceanic,Papua New Guinea-Bismarcks
Siau [xxx-67],-5.42,154.62,#A99567,Oceanic,Western Oceanic,Papua New Guinea
Siberian Tatar [tat-2],57.5,69,#797C63,Turkic,Common Turkic,Russia
Siberian Yupik [ess],65,-175,#534083,Eskimo-Aleut,Eskimo,Russia
Sibutu_Sama [ssb-3],4.85,119.47,#A3956D,Malayo-Polynesian,Barito,Philippines
Sicilian [scn],37.5,15.09,#5578B4,Indo-European,Romance,Italy
Sida [slt],22.5,102.2,#3894CC,Tibeto-Burman,Lolo-Burmese,Laos
Sidamo [sid],6.748,38.409,#747069,Afro-Asiatic,Cushitic,Ethiopia
Sierra Popoluca [poi],18.23,-94.87,#8A984E,Totozoquean-Chitimacha,Totozoquean,Mexico
Sihan [spg],2.66,113.84,#AE8D78,Malayo-Polynesian,Land Dayak,Malaysia-Borneo
Sika [ski],-8.62,122.22,#837B96,Malayo-Polynesian,Timoric,Indonesia-NTT
Sikaiana [sky],-8.43,162.9,#849D43,Oceanic,Central Pacific,Solomons
Sikaritai [tty],-2.75,138.25,#34B14E,Lakes Plains,Tariku,Indonesia-Papua
Sikuani [guh],5.82,-68.98,#5F8A56,Guahiban,Central Guahiban,Colombia
Sikule [skh],2.69,95.96,#968E69,Malayo-Polynesian,Batak-Barrier Islands,Indonesia-Sumatra
Silesian [szl],50.67,17.93,#4A719E,Indo-European,Balto-Slavic,Poland
Silesian_Cieszyn [szl-4],49.75,18.63,#456E97,Indo-European,Balto-Slavic,Poland
Silesian_Lach [ces-4],49.88,18.19,#5D6372,Indo-European,Balto-Slavic,Czech Republic
Silesian_Niemodlin [szl-2],50.64,17.62,#4B7D9A,Indo-European,Balto-Slavic,Poland
Silesian_Sulkovian [szl-3],50.16,17.95,#4C6798,Indo-European,Balto-Slavic,Poland
Silt'e [stv-2],7.77,38.14,#547C67,Afro-Asiatic,Semitic,Ethiopia
Silt'e_Azamat [wle],8.23,38.14,#507A6B,Afro-Asiatic,Semitic,Ethiopia
Simalungan_Batak [bts],3,98.83,#AF9368,Malayo-Polynesian,Batak-Barrier Islands,Indonesia-Sumatra
Simalur [smr],2.333,96.5,#608C79,Malayo-Polynesian,Batak-Barrier Islands,Indonesia-Sumatra
Simbari [smb],-5,152,#9C9565,Baining,,Papua New Guinea-Bismarcks
Simbo [sbb],-8.33,156.87,#9E9C89,Oceanic,Western Oceanic,Solomons
Sinama [sml],5.83,118.12,#9B9972,Malayo-Polynesian,Barito,Philippines
Sinan [cmn-45],27.94,108.25,#3D9EBF,Tibeto-Burman,Sinitic,China
Sinasina [sst],-6.08,145,#B09762,Trans New Guinea,Chimbu-Wahgi,Papua New Guinea
Sinaugoro [snc],-9.833,147.917,#7A8744,Oceanic,Western Oceanic,Papua New Guinea
Sindang [liw-2],-4.19,104.02,#A6968C,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Sindangan [syb-2],8.13,123.02,#978D59,Malayo-Polynesian,Philippines,Philippines
Sindhi [snd],26,69,#7772C0,Indo-European,Indo-Iranian,Pakistan
Sindhi_Jadeja [snd-2],23.92,70.37,#9681B4,Indo-European,Indo-Iranian,India
Sinesip [sns-2],-16.5,167.42,#A68B74,Oceanic,Southern Oceanic,Vanuatu
Singkil [btd-2],2.72,97.92,#788D5C,Malayo-Polynesian,Batak-Barrier Islands,Indonesia-Sumatra
Sinhalese [sin],6.9,79.9,#9B8CAC,Indo-European,Indo-Iranian,Sri Lanka
Sio [xsi],-6,147.333,#658793,Oceanic,Western Oceanic,Papua New Guinea
Siona [snn],-0.25,-76,#528552,Tucanoan,West Tucanoan,Colombia
Sipacapeño [qum],15.2,-91.6,#5E5B62,Mayan,Core Mayan,Guatemala
Siqian [yue-37],22.49,112.86,#4EA7BB,Tibeto-Burman,Sinitic,China
Siraiki [skr],29,69,#8F67D4,Indo-European,Indo-Iranian,Pakistan
Siraji [phr-2],33.14,75.55,#607CAF,Indo-European,Indo-Iranian,India
Siraya [fos-2],23,120.25,#9A7C5D,Austronesian,East Formosan,Taiwan
Sirenik [ysr],64.42,-173.95,#885285,Eskimo-Aleut,Eskimo,Russia
Siriano [sri],-0.503,-70.608,#57A641,Tucanoan,East Tucanoan,Colombia
Siriono [srq],-14.8,-62.5,#5D933C,Tupian,Tupi-Guarani,Bolivia
Sirohi [gdx],24.9,72.85,#A874BA,Indo-European,Indo-Iranian,India
Siroi [ssd],-5.5,146,#999488,Trans New Guinea,Madang,Papua New Guinea
Sirva [sbq],-5,145,#879168,Trans New Guinea,Madang,Papua New Guinea
Sisa [huc-4],-23.6,26.29,#177599,Kx'aa,Amkoe,Botswana
Sisiqa [bbq],-7.133,157,#858F61,Oceanic,Western Oceanic,Solomons
