name,latitude,longitude,color,family,subgroup,country
Kariyarra [vka],-21.069,118.493,#4E927E,Pama-Nyungan,Ngayarda,Australia
Karok [kyh],41.67,-123,#705C83,Karok,,USA
Kasem [xsm],11.168,-1.146,#8D9C9F,Niger-Kongo,Atlantic-Congo,Burkina Faso
Kashmiri [kas],34,76,#C1C779,Indo-European,Indo-Iranian,India
Kaska [kkz],60.05,-128.7,#6F5F96,Dene-Yeniseic,Na-Dene,Canada
Kati_North [yon],-5.5,141,#7B5A76,Trans New Guinea,Ok,Indonesia-Papua
Kati_South [kts],-6.2,140.789,#7B5A76,Trans New Guinea,Ok,Indonesia-Papua
Katío-Embera [cto-2],6.32,-76.85,#824997,Chocoan,Emberá,Colombia
Kawaiisu [xaw],36,-117.5,#6D77B6,Uto-Aztecan,Numic,USA
Kaytetye [gbb],-22,135.5,#47AB68,Pama-Nyungan,Arandic,Australia
Kazakh [kaz],50,70,#8FC2A7,Turkic,Common Turkic,Kazakhstan
Kazakh_Eastern [kaz-3],48,79,#8FC2A7,Turkic,Common Turkic,Kazakhstan
Kazakh_Northern [kaz-4],51,73,#8FC2A7,Turkic,Common Turkic,Kazakhstan
Kazakh_South [kaz-2],46,70,#8FC2A7,Turkic,Common Turkic,Kazakhstan
Kazakh_Western [kaz-5],49,64.5,#8FC2A7,Turkic,Common Turkic,Kazakhstan
Kefa [kbr],7.25,36.25,#AAAC96,Afro-Asiatic,Omotic,Ethiopia
Kei [kei],-5.67,133.08,#757269,Malayo-Polynesian,Kei,Indonesia-Maluku-south
Keiga [kec],11.23,29.68,#8B86A4,Kadugli-Krongo,Keiga,Sudan
Keiga-2 [kec-2],11.3,29.5,#8B86A4,Kadugli-Krongo,Keiga,Sudan
Kela [kel],-1.326,24.053,#798A77,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Kele [sbc],-2.083,147.333,#785665,Oceanic,Admiralties,Papua New Guinea-Bismarcks
Kensiw [kns],6.034,100.998,#62708C,Austroasiatic,Aslian,Malaysia
Kenta' Bong [knq],6.235,100.84,#62708C,Austroasiatic,Aslian,Malaysia
Kerkrade [nld-10],50.87,6.07,#D98F51,Indo-European,Germanic,Netherlands
Kermani [pes-6],31.27,56.81,#CCB46E,Indo-European,Indo-Iranian,Iran
Ket [ket],64,87,#718295,Dene-Yeniseic,Yeniseic,Russia
Khalkha [khk],47,108,#98B1A5,Mongolic,Core Mongolic,Mongolia
Khanty [kca],64,69,#7C7FBC,Uralic,Khantyic,Russia
