name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#B19A99,Tuu,Hua,Botswana
||Ana [gnk],-22.2,22.4,#948685,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#669384,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#898A85,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#B1958E,Tuu,/Xam,South Africa
Aari [aiw],6,36.6,#4BA371,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#5EB964,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#91B581,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#A3C48C,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#354B93,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#C03B23,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#79468A,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#4F85B1,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#A5617E,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#434C8C,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#B48B76,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#AA99B8,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#D7B48A,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#D4667B,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#787C94,Arawak,Northern Maipuran,Colombia
Aché [guq],-25.25,-55.17,#93AD6E,Tupian,Tupi-Guarani,Paraguay
Achuar [acu],-3,-76,#357C72,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#6C5971,Palaihnihan,,USA
Acoma [kjq-2],34.92,-107.58,#8064A9,Keresan,Western Keresan,USA
