name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#DCCBA7,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#E2EBEC,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#E4D8BE,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#D2BD92,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#EDEAE0,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#EAEDE9,Tuu,!Kwi,South Africa
A-Hmao [hmd],25.75,106.08,#9EC3D6,Hmong-Mien,Hmongic,China
Aari [aiw],6,36.6,#BA9A59,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#C6DCE7,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#3581A9,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#5496B7,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#CDB583,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#2E7CA5,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#DCE8ED,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#DCE8ED,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#E6ECEC,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#AF893D,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#7E3F00,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#85B5CC,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#95BED3,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#5D9CBB,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#9EC3D6,Arawak,Northern Maipuran,Colombia
Aché [guq],-25.25,-55.17,#85B5CC,Tupian,Tupi-Guarani,Paraguay
Achuar [acu],-3,-76,#DECFAF,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#95BED3,Palaihnihan,,USA
Acoma [kjq-2],34.92,-107.58,#8EBAD0,Keresan,Western Keresan,USA
Adang [adn],-8.163,124.456,#035289,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Adim [yay],5.81,8.03,#EDE7DA,Niger-Kongo,Atlantic-Congo,Nigeria
Adyghe [ady],44.1,39.08,#D5C199,Northwest Caucasus,Ubykh-Circassian,Russia
Adyghe_Black Sea Shapsugh [ady-2],44.375,38.4,#DCCBA7,Northwest Caucasus,Ubykh-Circassian,Abkhazia
Adynyamathanha [adt],-31,139.5,#5496B7,Pama-Nyungan,Thura-Yura,Australia
Adzera [azr],-6.417,146.25,#AECEDD,Oceanic,Western Oceanic,Papua New Guinea
Afar [aar],11.85,42,#9F711B,Afro-Asiatic,Cushitic,Djibouti
Afrikaans [afr],-33.9,18.5,#CDB583,Indo-European,Germanic,South Africa
Aftari_Komisenian [sqo-2],35.6,53.11,#A27622,Indo-European,Indo-Iranian,Iran
Agarabi [agd],-6.25,145.917,#C6DCE7,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Aghem [agq],6.39,10.12,#B28E44,Niger-Kongo,Atlantic-Congo,Cameroon
Aghu [ahh],-6.333,140,#EDECE5,Trans New Guinea,Awyu-Dumut,Indonesia-Papua
Aghu-Tharrnggala [gtu],-13.73,142.43,#EAEDE9,Pama-Nyungan,Paman,Australia
Agta [agt],17.967,121.833,#3C86AC,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#DCE8ED,Jivaroan,Aguaruna,Peru
Agutaynen [agn],11.15,120.95,#458BB0,Malayo-Polynesian,Philippines,Philippines
Ahamb [ahb],-16.507,167.703,#DCE8ED,Oceanic,Southern Oceanic,Vanuatu
Ahtna [aht],62,-145,#6DA6C2,Dene-Yeniseic,Na-Dene,USA-Alaska
Ai-cham_Diwo [aih],25.8,107,#4C90B3,Tai-Kadai,Kam-Tai,China
Aikaná [tba],-12.1,-60.6,#8EBAD0,Aikaná,,Brazil
Ainu [ain],42.4,142.5,#20729F,Ainu,Hokkaido-Kuril,Japan
Ainu_Kuril [ain-2],46.5,151.5,#2E7CA5,Ainu,Hokkaido-Kuril,Japan
Ainu_Sakhalin [ain-3],47.975,142.2,#3581A9,Ainu,Sakhalin,Japan
Ainu_Saru [ain-4],42.88,142.4,#05568C,Ainu,Hokkaido-Kuril,Japan
Aiwoo [nfl],-10.5,166.5,#458BB0,Oceanic,Te Motu,Solomons_East
Aka [axk],3.46,15.73,#BA9A59,Ubangian,,Central African Republic
Aka [hru-2],27.2,92.9,#CEE0E9,Tibeto-Burman,Hrusish,India
Akabea [abj-2],12.38,92.78,#9EC3D6,Andaman,,India_Andaman-Nicobars
Akan [aka],6.5,-1.25,#DCCBA7,Niger-Kongo,Atlantic-Congo,Ghana
Akawaio [ake],6,-59.5,#3C86AC,Cariban,Venezuelan,Guyana
Akha [ahk],20.3,99.6,#2E7CA5,Tibeto-Burman,Lolo-Burmese,Thailand
Akhvakh [akv],42.379,46.384,#E4D8BE,Nakh-Daghestanian,Avar-Andi,Russia
Akie [oki],-5.43,37.19,#C9B07D,Nilo-Saharan,Eastern Sudanic,Kenya
Akuntsu [aqz],-12.74,-60.8,#3581A9,Tupian,Tupari,Brazil
Alaaba [alw],7.31,38.09,#BA9A59,Afro-Asiatic,Cushitic,Ethiopia
Alaala [nrz],-9,146.667,#95BED3,Oceanic,Western Oceanic,Papua New Guinea
Alabama [akz],32.7,-86.1,#B6D3E1,Muskogean,Alabama-Koasati,USA
Alagwa [wbj],-4.64,35.72,#BE9F60,Afro-Asiatic,Cushitic,Tanzania
Alamblak [amp],-4.667,143.25,#EDE7DA,Sepik,Sepik Hill,Papua New Guinea
Alawa [alh],-15.75,134.333,#EDEAE0,Macro-Gunwinygu,Marran,Australia
Albanian_Gheg_Kosovo [aln],42.58,21,#753200,Indo-European,Albanian,Kosovo
Albanian_Tosk [als],40.5,20,#6C2500,Indo-European,Albanian,Albania
Ale [gwd],5.38,37.27,#AF893D,Afro-Asiatic,Cushitic,Ethiopia
Aleut [ale],54,-166,#EAEDE9,Eskimo-Aleut,Aleut,USA-Alaska
Algherese [cat-3],40.55,8.32,#844900,Indo-European,Romance,Italy-Sardinia
Alor [aol],-8.245,124.412,#6DA6C2,Malayo-Polynesian,Bima-Lembata,Indonesia-NTT
Alsea [aes],44.67,-123.93,#3581A9,Alsean,,USA
Alune [alp],-3.167,128.333,#B6D3E1,Malayo-Polynesian,Central Maluku,Indonesia-Maluku-north
Alyawarr [aly],-24.6,134.5,#A5C9D9,Pama-Nyungan,Arandic,Australia
Alyutor [alr],61,165,#EDEAE0,Chukotko-Kamchatkan,Main Chukotko-Kamchatkan,Russia
Ama [amm],-4.168,141.671,#D5E4EB,Left May,,Papua New Guinea
Amahuaca [amc],-10.8,-73.5,#6DA6C2,Panoan,Southern Panoan,Peru
Amam [wer],-7.85,146.95,#E7DCC5,Trans New Guinea,Oro-Wharton,Papua New Guinea
Amanab [amn],-3.5,141.167,#106496,Trans New Guinea,Border,Papua New Guinea
Amanuban [aoz-2],-9.82,124.47,#B6D3E1,Malayo-Polynesian,Southeast Maluku,Indonesia-NTT
Amara [aie],-5.533,148.667,#9EC3D6,Oceanic,Western Oceanic,Papua New Guinea-Bismarcks
Amarasi [aaz],-10.08,124.33,#E2EBEC,Malayo-Polynesian,Southeast Maluku,Indonesia-NTT
Ambae_West [omb],-15.5,167.75,#DCE8ED,Oceanic,Southern Oceanic,Vanuatu
Ambai [amk],-1.917,136.533,#AECEDD,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Ambel [xmt-2],-0.05,130.7,#75ABC5,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Ambonese Malay [abs],-3.7,128.2,#85B5CC,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Maluku-north
Ambulas [abt],-3.75,143.083,#E4D8BE,Ndu,Nuclear Ndu,Papua New Guinea
Amdo [adx],36,94,#95BED3,Tibeto-Burman,Bodic,China
Amele_Haija [aey],-5.25,145.75,#D5E4EB,Trans New Guinea,Madang,Papua New Guinea
Amharic [amh],10,38,#874E01,Afro-Asiatic,Semitic,Ethiopia
Amis [ami],23.333,121.333,#2E7CA5,Austronesian,East Formosan,Taiwan
Amo [amo],10.33,8.67,#B28E44,Niger-Kongo,Atlantic-Congo,Nigeria
Amoy [nan],24.5,118,#95BED3,Tibeto-Burman,Sinitic,China
Ampale [apz],-6.753,146.107,#E2EBEC,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Amuesha [ame],-10,-73,#458BB0,Arawak,Western Maipuran,Peru
Amuzgo [amu],16.83,-98,#E6ECEC,Otomanguean,Eastern Otomanguean,Mexico
Anal [anm],24.33,93.99,#C6DCE7,Tibeto-Burman,Kuki-Chin-Naga,India
Anamuxra [imi],-4.667,145,#E7DCC5,Trans New Guinea,Madang,Papua New Guinea
Andalusian [spa-4],37.5,-3.6,#722E00,Indo-European,Romance,Spain
Andoké [ano],0,-72,#D8C6A0,Andoké,,Colombia
Anejom [aty],-20.25,169.833,#75ABC5,Oceanic,Southern Oceanic,Vanuatu
Anem [anz],-5.667,149,#EDEAE0,Anem,,Papua New Guinea-Bismarcks
Angaatiha [agm],-7.22,146.25,#ECE4D3,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Angali [pes-2],29.75,50.96,#9F711B,Indo-European,Indo-Iranian,Iran
Angami [njm],25.667,94.5,#A5C9D9,Tibeto-Burman,Kuki-Chin-Naga,India
Angas [anc],9.75,8.75,#B6D3E1,Afro-Asiatic,Chadic,Nigeria
Anggor [agg],-3.667,141.167,#D5E4EB,Trans New Guinea,Border,Papua New Guinea
Anguthimri [awg],-12.333,141.833,#8EBAD0,Pama-Nyungan,Paman,Australia
Anindilyagwa [aoi],-14,136.5,#CEE0E9,Macro-Gunwinygu,East Arnhem,Australia
Anji [wuu-6],30.65,119.69,#8EBAD0,Tibeto-Burman,Sinitic,China
Anong [nun],27.2,98.8,#AECEDD,Tibeto-Burman,Nungish,China
Ansus [and],-1.73,135.806,#BDD7E3,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Antakarinya [ant],-27.11,134.85,#A5C9D9,Pama-Nyungan,Wati,Australia
Antwerps [nld-2],51.22,4.4,#7E3F00,Indo-European,Germanic,Belgium
Añú [pbg],11,-71.62,#E6ECEC,Arawak,Northern Maipuran,Venezuela
Anuta [aud],-11.611,169.85,#BDD7E3,Oceanic,Central Pacific,Solomons_East
Anyin [any],5.9,-2.9,#DCE8ED,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Apache_Western [apw],33.9,-109.55,#BDD7E3,Dene-Yeniseic,Na-Dene,USA
Apalai [apy],0,-54,#4C90B3,Cariban,Apalai,Brazil
Apatani [apt],27.4,93.8,#BDD7E3,Tibeto-Burman,Macro-Tani,India
Apinaye [apn],-6.25,-48,#075A8F,Macro-Je,Je,Brazil
Apma [app],-15.775,168.158,#DCE8ED,Oceanic,Southern Oceanic,Vanuatu
Apurinã [apu],-7.26,-64.8,#E2EBEC,Arawak,Southern Maipuran,Brazil
Arabana [ard],-28,137,#7DB0C9,Pama-Nyungan,Karnic,Australia
Arabela [arl],-2,-75.17,#EDE7DA,Zaparoan,Iquito-Arabela,Peru
Arabic [arb],29.5,42.5,#8A5201,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Abha [acw-2],18.22,42.51,#AC8536,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Afghanistan [acm-3],36.7,67.12,#844900,Afro-Asiatic,Semitic,Afghanistan
Arabic_Attuwair [acw-3],29.9,40.1,#844900,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Baghdad [acm-4],33.33,44.38,#A57B29,Afro-Asiatic,Semitic,Iran
Arabic_Basra [acm],30.5,47.825,#A88030,Afro-Asiatic,Semitic,Iraq
Arabic_Bedouin_Sinai_Mzēnah [avl],28.135,34.1,#783700,Afro-Asiatic,Semitic,Egypt
Arabic_Bukhara [abh],39.76,64.42,#874E01,Afro-Asiatic,Semitic,Uzbekistan
Arabic_Coastal-Dhofari [acx],20.7,58.2,#874E01,Afro-Asiatic,Semitic,Oman
Arabic_Cypriot [acy],34.343,33.011,#631700,Afro-Asiatic,Semitic,Cyprus
Arabic_Egyptian [arz],30,30,#7A3B00,Afro-Asiatic,Semitic,Egypt
Arabic_Faifa [jye-3],17.25,43.1,#9F711B,Afro-Asiatic,Semitic,Yemen
Arabic_Fezzan [ayl-2],26.33,13.43,#692100,Afro-Asiatic,Semitic,Libya
Arabic_Gulf [afb],24,54,#7E3F00,Afro-Asiatic,Semitic,United Arab Emirates
Arabic_Harb [acw],25.81,42.87,#8A5201,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Hejazi [acw-5],21.543,41.173,#783700,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Khawetna [arb-3],36.42,41.225,#97660F,Afro-Asiatic,Semitic,Turkey
Arabic_Khuzestan [acm-2],31.33,48.69,#BE9F60,Afro-Asiatic,Semitic,Iran
Arabic_Libyan [ayl],32,20.25,#874E01,Afro-Asiatic,Semitic,Libya
Arabic_Mauritanian [ary-2],20.92,-11.62,#814500,Afro-Asiatic,Semitic,Mauritania
Arabic_Moroccan [ary],34,-7,#94610A,Afro-Asiatic,Semitic,Morocco
Arabic_Muscat [acx-2],23.63,58.55,#783700,Afro-Asiatic,Semitic,Oman
Arabic_Najdi [acw-4],23,45.5,#8A5201,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Qatari [afb-3],25.3,51.52,#783700,Afro-Asiatic,Semitic,Qatar
Arabic_Sa'idi [aec],25,32.75,#814500,Afro-Asiatic,Semitic,Egypt
Arabic_Sason [arb-2],38.333,41.42,#783700,Afro-Asiatic,Semitic,Turkey
Arabic_Sudanese [apd-2],15.5,32.56,#B5924B,Afro-Asiatic,Semitic,Sudan
Arabic_Syrian [apc],33,37,#874E01,Afro-Asiatic,Semitic,Syria
Arabic_Tillo [arb-4],37.95,42.013,#97660F,Afro-Asiatic,Semitic,Turkey
Arabic_Tunisian [aeb],36,10,#844900,Afro-Asiatic,Semitic,Tunisia
Arabic_Wadi Mousa [ajp-2],30.32,35.48,#905C06,Afro-Asiatic,Semitic,Jordan
Arabic_Yemeni [jye-2],14,47,#8A5201,Afro-Asiatic,Semitic,Yemen
Arakmbut [hug],-13.27,-71.21,#EDE7DA,Harakmbet,Harakmbut,Peru
Arammba [stk],-8.25,141.5,#BDD7E3,South New Guinea,East Morehead,Papua New Guinea
Arandai [jbj],-2.17,133,#E9E0CD,Trans New Guinea,South Birds Head,Indonesia-Papua
Araona [aro],-12.333,-67.75,#AECEDD,Tacanan,Takanik-Chamik,Bolivia
Arapaho [arp],39.565,-105.345,#458BB0,Algic,Algonquian,USA
Arára_Pará [aap],-4.2422,-53.3745,#3C86AC,Cariban,Pekodian,Brazil
Arawak [arw],5.64,-56.92,#EDECE5,Arawak,Northern Maipuran,Guyana
Arbëresh [als-2],37.995,13.283,#783700,Indo-European,Albanian,Italy
Archi [aqc],42.07,46.86,#E9E0CD,Nakh-Daghestanian,Lezgic,Russia
Arctic Bay_Inuit [ikt],73.036,-85.15,#E6ECEC,Eskimo-Aleut,Eskimo,Canada
Are'are [alu],-9.342,161.203,#75ABC5,Oceanic,Southeast Solomonic,Solomons
Argobba [agj],10.66,39.76,#8A5201,Afro-Asiatic,Semitic,Ethiopia
Arguni [agf],-2.667,132.5,#64A1BE,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Aribwatsa [laz],-6.667,146.917,#BDD7E3,Oceanic,Western Oceanic,Papua New Guinea
Arifama-Miniafia [aai],-9.142,149.279,#BDD7E3,Oceanic,Western Oceanic,Papua New Guinea
Arikara [ari],40,-97,#156898,Caddoan,Northern Caddoan,USA
Arizona Tewa [tew],35.8,-110.4,#6DA6C2,Kiowa-Tanoan,Tewa,USA
Armenian [hye],40,45,#B28E44,Indo-European,Armenian,Armenia
Armenian_Western [hyw],40,40,#B89652,Indo-European,Armenian,Turkey
Arop-Lokep [apr],-5.333,147.083,#EAEDE9,Oceanic,Western Oceanic,Papua New Guinea
Arosi [aia],-10.333,161.5,#A5C9D9,Oceanic,Southeast Solomonic,Solomons
Arrernte_Central [are],-22.85,133.7,#C6DCE7,Pama-Nyungan,Arandic,Australia
Arrernte_Mparntwe [aer],-24,136,#AECEDD,Pama-Nyungan,Arandic,Australia
Arta [atz],16.42,121.66,#3C86AC,Malayo-Polynesian,Philippines,Philippines
Asaro_Upper [aso],-5.967,145.292,#D5E4EB,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Asheninka_Apurucayali [cpc],-10.018,-74.793,#E4D8BE,Arawak,Southern Maipuran,Peru
Ashéninka_Perené [prq],-10.8734,-75.245,#DCE8ED,Arawak,Southern Maipuran,Peru
Asmat [asc],-5.3,138.3,#C6DCE7,Trans New Guinea,Asmat-Kamoro,Indonesia-Papua
Assamese [asm],26.5,93,#A27622,Indo-European,Indo-Iranian,India
