glottocode,name,isocodes,level,macroarea,latitude,longitude
mint1239,Mintil,mzt,language,Eurasia,4.59376,101.986
minz1235,Min Zhong Chinese,czo,language,Eurasia,26.0686,117.376
minz1236,Minz Zhuang,zgm,language,Eurasia,23.33,105.5
miqi1235,Miqie,yiq,language,Eurasia,25.3,102.301
mira1251,Mirandese,mwl,language,Eurasia,41.5375,-6.38371
mire1238,Mire,mvh,language,Africa,9.69132,16.9932
mirg1238,Mirgan,zrg,language,Eurasia,23.43055,81.33599
miri1270,Miriti,mmv,language,South America,0.58896,-69.7432
miri1266,Miriwung,mep,language,Australia,-16.3596,128.889
mirp1238,Mirpur Panjabi,pmu,language,Eurasia,33.5582,74.3713
mish1244,Miship,mjs,language,Africa,9.20477,9.33752
misi1243,Misima-Paneati,mpx,language,Papunesia,-10.6821,152.696
misi1242,Mising-Padam-Miri-Minyong,mrg,language,Eurasia,27.418,94.69
misk1235,Mískito,miq,language,North America,15.1576,-84.2942
maya1282,Misool-Salawati Ma'ya,slz,language,Papunesia,-1.22329,130.909
mith1236,Mithaka,,language,Australia,-25.13606725,139.598447
mitl1235,Mitlatongo Mixtec,vmm,language,North America,17.16,-97.1757
mitl1236,Mitla Zapotec,zaw,language,North America,16.86849,-96.29434
mitt1253,Mittu,mwu,language,Africa,7.45616,29.0002
mitu1240,Mituku,zmq,language,Africa,-1.57031,25.104
miuu1237,Miu,mpo,language,Papunesia,-5.88037,149.557
miwa1242,Miwa,vmi,language,Australia,-14.3484,126.921
mixi1241,Mixifore,mfg,language,Africa,10.6822,-14.385
mixt1425,Mixtepec Mixtec,mix,language,North America,17.3317,-97.8791
mixt1426,Mixtepec Zapotec,zpm,language,North America,16.1724,-96.2372
miya1266,Miya,mkf,language,Africa,10.9234,9.71505
miya1259,Miyako,mvi,language,Eurasia,24.7564,125.363
miyo1238,Miyobe,soy,language,Africa,9.94366,1.33302
lush1249,Mizo,lus,language,Eurasia,22.6138,92.6247
mlab1235,Mlabri,mra,language,Eurasia,18.5533,101.163
mlah1239,Mlahsö,lhs,language,Eurasia,37.0311,41.2209
mlap1238,Mlap,kja,language,Papunesia,-2.57316,140.264
mlom1238,Mlomp,mlo,language,Africa,12.8318,-16.5383
mmaa1238,Mmaala,mmu,language,Africa,4.52188,11.0599
mmen1238,Mmen,bfm,language,Africa,6.43213,10.2541
moba1244,Moba,mfq,language,Africa,10.9496,0.159565
mobi1236,Mobilian,mod,language,North America,30.47,-91.75
mobu1235,Mobumrin Aizi,ahm,language,Africa,5.26847,-4.47303
moch1255,Mócheno,mhn,language,Eurasia,46.4916,10.8087
moch1256,Mochi,old,language,Africa,-3.33743,37.3357
moch1259,Mochica,omc,language,South America,-8.01667,-79
moch1257,Mocho,mhc,language,North America,15.4538,-92.1734
moco1246,Mocoví,moc,language,South America,-28.097,-60.4145
moda1242,Mo'da,gbn,language,Africa,6.1463,29.7355
moda1244,Modang,mxd,language,Papunesia,0.80793,116.573
mode1248,Modern Greek,ell,language,Eurasia,42.3224,24.8699
hebr1245,Modern Hebrew,heb,language,Eurasia,31.1056,35.0179
modo1249,Modole,mqo,language,Papunesia,1.40199,127.752
moer1240,Moere,mvq,language,Papunesia,-4.62246,145.458
mofu1248,Mofu-Gudur,mif,language,Africa,10.567,14.0314
mogh1245,Mogholi,mhj,language,Eurasia,34.2504,62.2802
mogu1251,Mogum,mou,language,Africa,11.5199,18.6082
moha1256,Mohave,mov,language,North America,34.8866,-114.599
moha1258,Mohawk,moh,language,North America,43.72,-74.66836
mohe1244,Mohegan-Montauk-Narragansett,mof,language,North America,41.8581,-72.1701
moic1236,Moi (Congo),mow,language,Africa,-1.72413,16.4556
moii1235,Moi (Indonesia),mxn,language,Papunesia,-0.96532,131.52
moik1239,Moikodi,mkp,language,Papunesia,-9.60232,148.312
moin1241,Moingi,mwz,language,Africa,1.20615,23.5035
moji1238,Moji,ymi,language,Eurasia,23.086,103.464
mokk1243,Mok,mqt,language,Eurasia,18.9117,99.5821
moke1242,Moken,mwt,language,Eurasia,10.1474,98.6765
moke1240,Mokerang,mft,language,Papunesia,-2.01602,147.423
moki1238,Mokilese,mkj,language,Papunesia,6.65651,159.776
mokl1243,Moklen,mkm,language,Eurasia,8.16761,98.3176
moko1243,Mokole,mkl,language,Africa,11.0438,3.05998
mokp1239,Mokpwe,bri,language,Africa,4.24178,9.23887
moks1249,Moksela,vms,language,Papunesia,-3.098,128.654
moks1248,Moksha,mdf,language,Eurasia,54.1855,42.6728
amol1235,Mol,alx,language,Papunesia,-3.46843,142.532
mola1238,Molale,mbe,language,North America,44.556,-122.857
molb1237,Molbog,pwm,language,Papunesia,7.956663,117.030502
mold1243,Moldova Sign Language,vsi,language,Eurasia,47.107,28.694
mole1238,Molengue,bxc,language,Africa,1.3718,9.61289
moli1248,Molima,mox,language,Papunesia,-9.57457,150.614
molm1235,Molmo One,aun,language,Papunesia,-3.38127,141.806
molo1257,Molo,zmo,language,Africa,10.793,33.5677
molo1262,Molof,msl,language,Papunesia,-3.41946,140.557
molo1266,Moloko,mlw,language,Africa,10.7933,14.2521
moma1242,Moma,myl,language,Papunesia,-1.4313,120.009
moma1243,Momare,msz,language,Papunesia,-6.3409,147.79
momb1254,Mombo Dogon,dmb,language,Africa,14.376155,-3.664799
nucl1452,Mombum,mso,language,Papunesia,-8.27141,138.773
momi1242,Momina,mmb,language,Papunesia,-4.812,139.821
momj1237,Mom Jango,ver,language,Africa,8.8658,12.7473
nort2917,Momogo-Pupis-Irogo,nks,language,Papunesia,-4.89854,138.405
fass1245,Momu-Fas,fqs,language,Papunesia,-3.10868,141.64
momu1241,Momuna,mqf,language,Papunesia,-5.04431,139.26
monn1252,Mon,mnw,language,Eurasia,15.49394,98.122465
mona1241,Monastic Sign Language,mzg,language,Eurasia,41.9026,12.452
mond1265,Mondropolon,npn,language,Papunesia,-2.01359,146.931
mond1267,Mondzi,,language,Eurasia,23.446095,105.416304
mong1338,Mongo,lol,language,Africa,-1.54228,20.4259
mong1345,Mongoba-Kazibati,,language,Africa,2.80983,29.5637
mong1344,Mongol,mgt,language,Papunesia,-4.30038,143.965
mong1330,Mongolia Buriat,bxm,language,Eurasia,48.7686,109.005
mong1264,Mongolian Sign Language,msr,language,Eurasia,48.6852,107.528
mong1342,Mongondow,mog,language,Papunesia,0.64616,124.114
moni1261,Moni,mnz,language,Papunesia,-3.72962,136.886
