name,latitude,longitude,color,family,subgroup,country
East Franconian [vmf],50.57,10.42,#7FF135,Indo-European ,Germanic,Germany
East Greenlandic [kal-2],65.61,-37.63,#89162C,Eskimo-Aleut ,Eskimo,Greenland (Denmark)
Eastern Lawa [lwl],19.01,98.76,#D3D43F,Austroasiatic ,Khasi-Palaung,Thailand
Eastern Slovakian [slk-3],48.72,21.25,#C49113,Indo-European ,Balto-Slavic,Slovakia
Eastern Yugur [yuy-2],37.99,101.76,#C0B319,Mongolic ,Core Mongolic,China
Ebang [hbn],11.214,30.524,#53B5EE,Talodi-Heiban ,Heiban,Sudan
Ebira [igb-2],8.16,7.06,#9BB7F2,Niger-Kongo ,Volta-Niger,Nigeria
Ebrie [igb],5.3,-4,#75A7F9,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Eda [kad],9.87,7.95,#8F8EFE,Niger-Kongo ,Atlantic-Congo,Nigeria
Edolo [etr],-6.083,142.667,#1773D1,Trans New Guinea ,Bosavi,Papua New Guinea
Efik [efi],4.92,8.5,#5896F8,Niger-Kongo ,Atlantic-Congo,Nigeria
Ega [ega],5.5,-5.5,#AB9BF6,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Ehueuen [ehu],7.45,5.86,#8597FD,Niger-Kongo ,Atlantic-Congo,Nigeria
Eipomek [eip],-4.322,140.079,#50650B,Trans New Guinea ,Momuna-Mek,Indonesia-Papua
Eivo [eiv],-6.056,155.333,#186D2E,North Bougainville ,Rotokas,Papua New Guinea-Bougainville
Ejagham [etu],5.6,9,#7FA8FA,Niger-Kongo ,Atlantic-Congo,Cameroon
Ekagi [ekg],-3.917,136.25,#2D71E4,Trans New Guinea ,Western Trans New Guinea,Indonesia-Papua
Ekoti [eko],-16.538,39.677,#C56FEC,Niger-Kongo ,Atlantic-Congo,Mozambique
Ekpeye [ekp],5.07,6.53,#9BB7F2,Niger-Kongo ,Volta-Niger,Nigeria
Eleme [elm],4.763,7.242,#8494FE,Niger-Kongo ,Atlantic-Congo,Nigeria
