name,latitude,longitude,color,family,subgroup,country
Chiquimulilla [xin-2],14.08,-90.38,#429ED2,Xinca,,Guatemala
Chiquitano [cax],-17.5,-62,#49AA6D,Chiquitano,,Bolivia
Chiricahua [apm],33.5,-108,#32A53A,Dene-Yeniseic,Na-Dene,USA
Chitimacha [ctm],29.67,-91,#7DA422,Totozoquean-Chitimacha,Chitimacha,USA
Chitoniya_Tharu [the],27.58,84.41,#AE5A42,Indo-European,Indo-Iranian,Nepal
Chittagong [ben-2],22.37,91.8,#9E592F,Indo-European,Indo-Iranian,Bangladesh
Chöcangacakha [cgk],27.53,91.14,#9A402D,Tibeto-Burman,Bodic,Bhutan
Chocho [coz],17.67,-97.33,#147FAD,Otomanguean,Eastern Otomanguean,Mexico
Choctaw [cho],32.25,-88.5,#6DBB41,Muskogean,Western Muskogean,USA
Chokwe [cjk],-9.702,22.876,#125A94,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Cholon [cht],-8,-77.5,#82B759,Cholon,,Peru
Chongyang [gan-3],29.55,114.17,#521A63,Tibeto-Burman,Sinitic,China
Chontal [chd],18.17,-92.58,#459DBC,Mayan,Core Mayan,Mexico
Chontal [clo],16.3,-95.5,#49C1C2,Tequistlatecan,,Mexico
Chrau [crw],10.667,107.5,#6E23AF,Austroasiatic,Bahnaric,Vietnam
Chuj [cac],16,-91.5,#4EA9D5,Mayan,Core Mayan,Mexico
Chukchi [ckt],67,-173,#BBB881,Chukotko-Kamchatkan,Main Chukotko-Kamchatkan,Russia
Chumash [boi],34.5,-120.25,#29B69E,Chumashan,South Chumashan,USA
Chumash_Ineseño [inz],34.61,-120.09,#28BCA4,Chumashan,South Chumashan,USA
Chumburung [ncu],8.15,-0.28,#58228A,Niger-Kongo,Atlantic-Congo,Ghana
Chuukese [chk],7.333,151.75,#694DC5,Oceanic,Micronesian,USA Federated States of Micronesia
Chuvash [chv],55.5,47.5,#B27D26,Turkic,Oghur,Russia
Chuwabu [chw],-17.36,37.1,#306FAB,Niger-Kongo,Atlantic-Congo,Mozambique
Cicipu [awc],10.911,5.703,#1664A1,Niger-Kongo,Atlantic-Congo,Nigeria
CiLuba [lua],-6,22,#2565A7,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Cimbrian [cim],45.62,11.13,#523969,Indo-European,Germanic,Italy
Cisuundi [sdj],-5.56,12.19,#1D6F91,Niger-Kongo,Atlantic-Congo,Angola
Coahuilteco [xcw],28,-100,#61BB46,Coahuilteco,,USA
Cocama-Cocamilla [cod],-5,-74.3,#B4AB93,Tupian,Tupi-Guarani,Peru
Cocopa [coc],32.5,-115,#88C85C,Yuman-Cochimi,Yuman,USA
Coeur d'Alene [crd],47.33,-117,#41D9C6,Salish,Interior Salish,USA
Cofan [con],0.25,-77,#797529,Kofan,,Ecuador
Cogtse Gyarong [jya],32.1,100.6,#768037,Tibeto-Burman,Na-Qiangic,China
Col [liw],-3.3,102.86,#6A39C6,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Colac [xxx-42],-38.33,143.5,#DE8DD7,Pama-Nyungan,Kulinic,Australia
Comanche [com],33.5,-101.5,#9DB338,Uto-Aztecan,Numic,USA
Comox [coo],49.75,-125,#41DDB9,Salish,Central Salish,Canada
Coos [csz],43.5,-124.17,#51DB94,Coos,,USA
Cora [crn],23.333,-99,#4FB8A4,Uto-Aztecan,Corachol,Mexico
Cornish [cor],50.5,-4.5,#39558F,Indo-European,Celtic,Britain
Corsican [cos],42.1,9.5,#60438B,Indo-European,Romance,France
Cosao [xxx-25],21.62,101.567,#60263B,Tibeto-Burman,Lolo-Burmese,China
Cree_Plains [crk],54,-116,#72C9B2,Algic,Algonquian,Canada
Cree_Woods [cwd],57.5,-100.5,#69CF9E,Algic,Algonquian,Canada
Creek [mus],30.41,-85.2,#6AB640,Muskogean,Creek,USA
Crimean Tatar [crh],45.58,34.1,#977C18,Turkic,Common Turkic,Ukraine
Croatian [hrv],45.5,17.3,#7F4A64,Indo-European,Balto-Slavic,Croatia
Crow [cro],45.5,-108,#53A538,Siouan,Western Siouan,USA
Cua [cua],15.167,108.667,#6318A2,Austroasiatic,Bahnaric,Vietnam
Cubeo [cub],1.33,-70.5,#7DB237,Tucanoan,Central Tucanoan,Colombia
Cuiba [cui],6.5,-70.5,#447BA7,Guahiban,Central Guahiban,Colombia
Cupeño [cup],33.17,-116.5,#A4C358,Uto-Aztecan,North Uto-Aztecan,USA
Cuquila Mixtec [mie],17.2,-97.755,#2884B9,Otomanguean,Eastern Otomanguean,Mexico
Cuvok [cuv],10.7,14,#3674B3,Afro-Asiatic,Chadic,Cameroon
Cuwabo [chw-2],-17.32,37.14,#3875BC,Niger-Kongo,Atlantic-Congo,Mozambique
Czech [ces],50,14.5,#726044,Indo-European,Balto-Slavic,Czech Republic
Daakaka [bpa],-16.269,167.964,#5646C7,Oceanic,Southern Oceanic,Vanuatu
Daakie [ptv],-16.32,168.04,#485AB6,Oceanic,Southern Oceanic,Vanuatu
Daats'íin [dtn],12.6,35.8,#286F78,Nilo-Saharan,Gumuz,Ethiopia
Dadibi [mps],-6.55,144.58,#AE612B,Papuan Gulf,Tua River,Papua New Guinea
Dadua [gal-2],-8.35,125.838,#4C50AF,Malayo-Polynesian,Timoric,Timor leste
Daga [dgz],-10,149.25,#8B7F42,Southeast Papuan,Dagan,Papua New Guinea
Dagaare [dga],11.5,-2.5,#5F268D,Niger-Kongo,Atlantic-Congo,Burkina Faso
Dagbani [dag],9.58,-0.5,#5C2C84,Niger-Kongo,Atlantic-Congo,Ghana
Dagur [dta],48,124,#9E6E29,Mongolic,Core Mongolic,China
